date,year,month,period,electric_power_bcfd,industrial_bcfd,residential_bcfd,commercial_bcfd,total_bcfd,electric_power_share_pct,industrial_share_pct,residential_cents_kwh,commercial_cents_kwh,industrial_cents_kwh,gas_share_pct,coal_share_pct,nuclear_share_pct,renewable_share_pct,gas_rigs,oil_rigs,total_rigs,ercot_wholesale_mwh,caiso_wholesale_mwh,henry_hub_mmbtu,net_exports_bcfd,lng_exports_bcfd,is_net_exporter
1990-01-01,1990,1,1990-01,5.320227187146981,22.8899836826911,24.74570101669386,12.55187021463537,67.91135308146103,7.834076256388622,33.70568048502009,,,,,,,,406,660,1066,,,2.23,-4.147945205479452,0.0,False
1990-02-01,1990,2,1990-02,5.321741245136187,23.153140633685386,22.32716092273485,11.670059755419675,64.75885908838244,8.21778104193144,35.75285445051794,,,,,,,,401,652,1053,,,1.85,-4.147945205479452,0.0,False
1990-03-01,1990,3,1990-03,6.720440567340279,21.877965357098027,17.32104305259194,9.477281285301869,57.40303752981047,11.707465068987382,38.11290534187567,,,,,,,,389,635,1024,,,1.55,-4.147945205479452,0.0,False
1990-04-01,1990,4,1990-04,7.511057068741893,22.946725032425423,12.957976653696498,7.6612191958495455,52.91180285343709,14.19542836131879,43.36787596519181,,,,,,,,382,621,1003,,,1.49,-4.147945205479452,0.0,False
1990-05-01,1990,5,1990-05,8.90473201958077,21.42751349315928,7.790636375047068,4.946811848876616,44.585006903476845,19.972480970696807,48.059908434125,,,,,,,,375,608,983,,,1.47,-4.147945205479452,0.0,False
1990-06-01,1990,6,1990-06,11.211673151750972,20.970492866407263,5.214753566796369,4.023540856031128,42.8587224383917,26.15960652552689,48.92934663778605,,,,,,,,368,595,963,,,1.48,-4.147945205479452,0.0,False
1990-07-01,1990,7,1990-07,11.911133425379692,20.109577005146228,3.969530563574746,3.8665432408685834,41.23104681812476,28.888748514975067,48.77289944602197,,,,,,,,372,598,970,,,1.49,-4.147945205479452,0.0,False
1990-08-01,1990,8,1990-08,12.527676666248276,20.78395255428643,3.8055729885778833,3.6190849755240366,42.14111334253796,29.727920485675973,49.31989429265209,,,,,,,,388,625,1013,,,1.51,-4.147945205479452,0.0,False
1990-09-01,1990,9,1990-09,11.355933852140078,21.30807392996109,4.283884565499352,3.934889753566796,42.30113488975357,26.84545906802793,50.37234576683298,,,,,,,,410,658,1068,,,1.56,-4.147945205479452,0.0,False
1990-10-01,1990,10,1990-10,9.380161917911384,22.43036902221664,6.700702899460274,4.739927199698758,44.76672524162169,20.953424373311577,50.10500299307596,,,,,,,,425,680,1105,,,1.76,-4.147945205479452,0.0,False
1990-11-01,1990,11,1990-11,6.971335927367056,22.872535667963685,12.180674448767832,7.25136186770428,51.03767833981841,13.659194842192072,44.81500023506959,,,,,,,,428,685,1113,,,1.94,-4.147945205479452,0.0,False
1990-12-01,1990,12,1990-12,6.3883833312413705,23.34338521400778,19.777676666248272,10.424124513618676,62.11622944646667,10.28456393469124,37.58017095053346,,,,,,,,420,672,1092,,,2.04,-4.147945205479452,0.0,False
1991-01-01,1991,1,1991-01,6.459395004393122,24.289663612401156,26.47897577507217,13.609702522906993,73.15325718589182,8.829948594057775,33.20380328476421,,,,,,,,398,642,1040,,,1.96,-4.504109589041096,0.0,False
1991-02-01,1991,2,1991-02,6.041516120066704,23.67544469149528,23.07594496942746,12.46713451917732,67.38639521956642,8.96548346351146,35.133864356971614,,,,,,,,368,598,966,,,1.62,-4.504109589041096,0.0,False
1991-03-01,1991,3,1991-03,7.196623572235471,22.11961842600728,17.983337517258693,9.743190661478598,58.87928329358604,12.222675225768974,37.56774401568991,,,,,,,,345,565,910,,,1.49,-4.504109589041096,0.0,False
1991-04-01,1991,4,1991-04,8.313942931258106,22.03495460440985,12.092153047989624,7.310830090791181,51.33057717250325,16.196862356170268,42.92754108405688,,,,,,,,328,542,870,,,1.5,-4.504109589041096,0.0,False
1991-05-01,1991,5,1991-05,9.306577130663989,20.812445085979665,7.177795908120999,4.818281661855152,43.42701142211623,21.43038819826408,47.92511481778006,,,,,,,,318,528,846,,,1.48,-4.504109589041096,0.0,False
1991-06-01,1991,6,1991-06,10.029247730220494,20.58174448767834,4.793741893644618,3.8467898832684826,40.46112191958495,24.78736934223739,50.86795301569696,,,,,,,,322,532,854,,,1.43,-4.504109589041096,0.0,False
