feature,coefficient,abs_coef
post_ira,-2.4009959422740725,2.4009959422740725
post_rggi,-1.370783308315445,1.370783308315445
shale_boom,-1.3707833083154448,1.3707833083154448
post_mats,0.862152377029558,0.862152377029558
post_epact2005,0.6640166680779617,0.6640166680779617
industrial_bcfd,-0.6520378800675969,0.6520378800675969
lng_exports_bcfd,0.4034105277586912,0.4034105277586912
post_lng_exports,0.12248214042748247,0.12248214042748247
commercial_bcfd,0.1076121193474593,0.1076121193474593
residential_bcfd,0.0547445419218472,0.0547445419218472
gas_rigs,-0.013673963917554039,0.013673963917554039
total_rigs,0.007864240495135018,0.007864240495135018
electric_power_bcfd,-0.001890374063455928,0.001890374063455928
post_order636,1.1102230246251565e-16,1.1102230246251565e-16
