target,feature,correlation,r_squared,p_value,n_observations,significance
industrial_cents_kwh,henry_hub_mmbtu,0.4778229077880826,0.2283147312070585,0.00011299563549989263,60,***
industrial_cents_kwh,electric_power_bcfd,0.8042889006466728,0.6468806357034335,1.318030211372881e-66,288,***
industrial_cents_kwh,industrial_bcfd,0.3926740380017161,0.15419290012057316,4.690635886032578e-12,288,***
industrial_cents_kwh,residential_bcfd,-0.23845525017656766,0.05686090633676947,4.346441198217059e-05,288,***
industrial_cents_kwh,total_bcfd,0.3332985933904456,0.11108795235604958,6.699174423613194e-09,288,***
industrial_cents_kwh,electric_power_share_pct,0.599237130802912,0.3590851389329062,1.8432160327521235e-29,288,***
industrial_cents_kwh,gas_share_pct,0.8089145482024107,0.6543427462935102,6.1803534902040145e-68,288,***
industrial_cents_kwh,coal_share_pct,-0.722817073828049,0.5224645222173433,8.143071835463368e-48,288,***
industrial_cents_kwh,gas_rigs,-0.2131423186402004,0.04542964799532071,0.0002690939837185999,288,***
industrial_cents_kwh,total_rigs,-0.14684669819591017,0.02156395277104073,0.012603809865758014,288,*
industrial_cents_kwh,net_exports_bcfd,0.7342773407319326,0.5391632131123587,4.937177602907828e-50,288,***
industrial_cents_kwh,lng_exports_bcfd,0.6339071344183935,0.40183825506653925,8.999116650146746e-34,288,***
ercot_wholesale_mwh,henry_hub_mmbtu,0.2149303014220976,0.04619503446939373,0.09911541053374338,60,
ercot_wholesale_mwh,electric_power_bcfd,-0.02258231123556968,0.0005099607807401366,0.8640162181558676,60,
ercot_wholesale_mwh,industrial_bcfd,0.02986982182024421,0.0008922062555731372,0.8207705346079152,60,
ercot_wholesale_mwh,residential_bcfd,0.19900527038125146,0.039603097639515,0.12742050628087415,60,
ercot_wholesale_mwh,total_bcfd,0.19319888949818992,0.0373258109033338,0.1391388201820868,60,
ercot_wholesale_mwh,electric_power_share_pct,-0.1059563489028528,0.011226747872823075,0.4203920992620753,60,
ercot_wholesale_mwh,gas_share_pct,-0.17594321694431492,0.030956015588714265,0.17872275285317404,60,
ercot_wholesale_mwh,coal_share_pct,0.36375363319449056,0.13231670566219197,0.004277632026983327,60,**
ercot_wholesale_mwh,gas_rigs,-0.039476221241569645,0.0015583720435133545,0.7645846490281067,60,
ercot_wholesale_mwh,total_rigs,-0.10358509597838374,0.010729872108850971,0.4309247552063556,60,
ercot_wholesale_mwh,net_exports_bcfd,-0.01051049003441584,0.0001104704007635547,0.9364731173862202,60,
ercot_wholesale_mwh,lng_exports_bcfd,0.010083856311540393,0.00010168415811179301,0.9390467570950366,60,
caiso_wholesale_mwh,henry_hub_mmbtu,0.6573681169786,0.4321328412199903,0.00019486897517160512,27,***
caiso_wholesale_mwh,electric_power_bcfd,-0.09309844662769061,0.008667320764488957,0.644175642297324,27,
caiso_wholesale_mwh,industrial_bcfd,0.2916118156746198,0.08503745104104843,0.13998270082943484,27,
caiso_wholesale_mwh,residential_bcfd,0.48460803091904103,0.23484494363123024,0.010415433053590824,27,*
caiso_wholesale_mwh,total_bcfd,0.493538904607022,0.24358065036069915,0.008893609560059128,27,**
caiso_wholesale_mwh,electric_power_share_pct,-0.32294977641967293,0.10429655808951674,0.10037084685582813,27,
caiso_wholesale_mwh,gas_share_pct,-0.26045490256364906,0.06783675626943993,0.18948426800888038,27,
caiso_wholesale_mwh,coal_share_pct,0.6678457540246638,0.4460179511687718,0.00014107500547346952,27,***
caiso_wholesale_mwh,gas_rigs,0.5565019356622356,0.309694404395815,0.0025731901825779024,27,**
caiso_wholesale_mwh,total_rigs,0.5766014483345463,0.33246923022149644,0.0016429330358105263,27,**
caiso_wholesale_mwh,net_exports_bcfd,-0.6254369143009872,0.39117133377034047,0.00048561723296742333,27,***
caiso_wholesale_mwh,lng_exports_bcfd,-0.6256059756138179,0.39138283672371693,0.00048340190107783724,27,***
