target,feature,correlation,r_squared,p_value,n_observations,significance
industrial_cents_kwh,henry_hub_mmbtu,0.4778229077880826,0.2283147312070585,0.00011299563549989263,60,***
industrial_cents_kwh,electric_power_bcfd,0.8042889006466728,0.6468806357034335,1.318030211372881e-66,288,***
industrial_cents_kwh,electric_power_share_pct,0.599237130802912,0.3590851389329062,1.8432160327521235e-29,288,***
industrial_cents_kwh,gas_share_pct,0.8089145482024107,0.6543427462935102,6.1803534902040145e-68,288,***
industrial_cents_kwh,coal_share_pct,-0.722817073828049,0.5224645222173433,8.143071835463368e-48,288,***
industrial_cents_kwh,gas_rigs,-0.2131423186402004,0.04542964799532071,0.0002690939837185999,288,***
industrial_cents_kwh,industrial_bcfd,0.3926740380017161,0.15419290012057316,4.690635886032578e-12,288,***
industrial_cents_kwh,lng_exports_bcfd,0.6339071344183935,0.40183825506653925,8.999116650146746e-34,288,***
industrial_cents_kwh,net_exports_bcfd,0.7342773407319326,0.5391632131123587,4.937177602907828e-50,288,***
industrial_cents_kwh,residential_bcfd,-0.2384552501765676,0.05686090633676944,4.346441198217059e-05,288,***
industrial_cents_kwh,total_bcfd,0.3332985933904456,0.11108795235604958,6.699174423613194e-09,288,***
industrial_cents_kwh,total_rigs,-0.14684669819591017,0.02156395277104073,0.012603809865758014,288,*
ercot_wholesale_mwh,henry_hub_mmbtu,0.8003964598814077,0.64063449299069,4.7153528854685613e-14,58,***
ercot_wholesale_mwh,electric_power_bcfd,0.41033544097463664,0.1683751741198495,0.0013783195550415863,58,**
ercot_wholesale_mwh,electric_power_share_pct,0.4345043526620773,0.18879403248229085,0.0006543113061076471,58,***
ercot_wholesale_mwh,gas_share_pct,0.2556199905841529,0.06534157958624243,0.052785171511312144,58,
ercot_wholesale_mwh,coal_share_pct,0.2641473271208731,0.06977381042510153,0.045109059999815265,58,*
ercot_wholesale_mwh,gas_rigs,0.5323266152856282,0.2833716253414532,1.7009590148203545e-05,58,***
ercot_wholesale_mwh,industrial_bcfd,-0.26480021654092417,0.07011915468012034,0.04456122217988805,58,*
ercot_wholesale_mwh,lng_exports_bcfd,0.19844402409156256,0.03938003069765266,0.13535840291281198,58,
ercot_wholesale_mwh,net_exports_bcfd,0.15748396012703203,0.024801197697292613,0.23774659500299908,58,
ercot_wholesale_mwh,residential_bcfd,-0.3520712041589067,0.12395413279790256,0.0067222549680877415,58,**
ercot_wholesale_mwh,total_bcfd,-0.19975460932625033,0.039901903947082894,0.13274458235627706,58,
ercot_wholesale_mwh,total_rigs,0.37957372201287454,0.14407621044270696,0.0032963641457623527,58,**
caiso_wholesale_mwh,henry_hub_mmbtu,0.6573681169786,0.4321328412199903,0.00019486897517160512,27,***
caiso_wholesale_mwh,electric_power_bcfd,-0.09309844662769062,0.00866732076448896,0.6441756422973233,27,
caiso_wholesale_mwh,electric_power_share_pct,-0.32294977641967293,0.10429655808951674,0.10037084685582813,27,
caiso_wholesale_mwh,gas_share_pct,-0.26045490256364906,0.06783675626943993,0.18948426800888038,27,
caiso_wholesale_mwh,coal_share_pct,0.6678457540246638,0.4460179511687718,0.00014107500547346952,27,***
caiso_wholesale_mwh,gas_rigs,0.5565019356622356,0.309694404395815,0.0025731901825779024,27,**
caiso_wholesale_mwh,industrial_bcfd,0.2916118156746198,0.08503745104104843,0.13998270082943484,27,
caiso_wholesale_mwh,lng_exports_bcfd,-0.6256059756138179,0.39138283672371693,0.00048340190107783724,27,***
caiso_wholesale_mwh,net_exports_bcfd,-0.6254369143009872,0.39117133377034047,0.00048561723296742333,27,***
caiso_wholesale_mwh,residential_bcfd,0.48460803091904103,0.23484494363123024,0.010415433053590824,27,*
caiso_wholesale_mwh,total_bcfd,0.493538904607022,0.24358065036069915,0.008893609560059128,27,**
caiso_wholesale_mwh,total_rigs,0.5766014483345463,0.33246923022149644,0.0016429330358105263,27,**
