variable,coefficient,abs_coef
post_certificate_policy,1.5203475228545775,1.5203475228545775
shale_era,-1.303500909981331,1.303500909981331
post_rggi,-1.3035009099813277,1.3035009099813277
post_order2003,1.1300254435569916,1.1300254435569916
post_ira,-0.9514323159647343,0.9514323159647343
post_lng_exports,0.7727207350315568,0.7727207350315568
post_ca_cap,0.725756419595989,0.725756419595989
post_mats,0.6298773086375911,0.6298773086375911
post_major_coal_ret,0.6298773086375691,0.6298773086375691
post_401_battles,-0.5537068741143618,0.5537068741143618
post_lng_pause,-0.5028118011901737,0.5028118011901737
post_epact2005_permitting,0.49454601451363644,0.49454601451363644
post_epact2005,0.49454601451275015,0.49454601451275015
gas_coal_ratio,-0.4504951563825936,0.4504951563825936
post_mvp_approval,-0.4291602302940238,0.4291602302940238
post_fra2023,-0.42916023029401806,0.42916023029401806
net_exports_bcfd,0.32386954247522126,0.32386954247522126
post_order1000,-0.29616276397874525,0.29616276397874525
is_summer,-0.24804303093724347,0.24804303093724347
industrial_bcfd,-0.2349216765734485,0.2349216765734485
post_order1920,0.21289968574314141,0.21289968574314141
nuclear_share_pct,-0.177931932498392,0.177931932498392
post_order2023,0.17582384668021137,0.17582384668021137
base_demand,-0.16026108502143618,0.16026108502143618
is_winter,-0.13852887781184808,0.13852887781184808
coal_share_pct,0.12432571192051543,0.12432571192051543
lng_exports_bcfd,0.11866499428148267,0.11866499428148267
gas_share_pct,-0.11192266665536396,0.11192266665536396
clean_share,-0.0975040000502131,0.0975040000502131
residential_bcfd,0.08765256037258451,0.08765256037258451
power_share_of_gas,0.08394676441101563,0.08394676441101563
renewable_share_pct,0.08042793245067105,0.08042793245067105
electric_power_bcfd,0.07466059153074991,0.07466059153074991
commercial_bcfd,-0.05808999611970706,0.05808999611970706
us_net_exporter,-0.0357631009423886,0.0357631009423886
heating_demand,0.02956256425105531,0.02956256425105531
post_coal_decline,-0.028145582908355796,0.028145582908355796
thermal_share,0.012403045273486485,0.012403045273486485
oil_rigs,0.008182880041474303,0.008182880041474303
gas_rigs,-0.008047843245640634,0.008047843245640634
total_rigs,0.00013503645796446428,0.00013503645796446428
post_nepa,0.0,0.0
post_caa1990,0.0,0.0
post_order636,0.0,0.0
post_order888,0.0,0.0
