year,month,month_name,p_hurricane,p_major_hurricane,p_polar_vortex,p_war_event,p_supply_disruption,p_any_event,risk_score
2026,1,Jan,0.0,0.0,0.16922809138193673,0.014714782745477153,0.0532837549855768,0.22506799226506136,85.0
2026,2,Feb,0.0,0.0,0.14315650785790324,0.014714782745477153,0.0532837549855768,0.2007487966404572,85.0
2026,3,Mar,0.0,0.0,0.059929117832641876,0.014714782745477153,0.0532837549855768,0.12311549226200402,85.0
2026,4,Apr,0.0,0.0,0.012283928935335364,0.014714782745477153,0.0532837549855768,0.0786727499062626,85.0
2026,5,May,0.020144336198737012,0.009283721010965085,0.0,0.014714782745477153,0.0532837549855768,0.08600482399188569,85.0
2026,6,Jun,0.09674466272118065,0.04556469462908863,0.0,0.014714782745477153,0.0532837549855768,0.15745649948718599,85.0
2026,7,Jul,0.15023887635477018,0.07190081049626829,0.0,0.014714782745477153,0.0532837549855768,0.20735512742976525,85.0
2026,8,Aug,0.3609036158092882,0.18551220306792393,0.0,0.014714782745477153,0.0532837549855768,0.40386014620923383,85.0
2026,9,Sep,0.4785803024484421,0.25804498672831166,0.0,0.014714782745477153,0.0532837549855768,0.5136272556828388,85.0
2026,10,Oct,0.3609036158092882,0.18551220306792393,0.0,0.014714782745477153,0.0532837549855768,0.40386014620923383,85.0
2026,11,Nov,0.15023887635477018,0.07190081049626829,0.01836919142586657,0.014714782745477153,0.0532837549855768,0.22191537282673968,85.0
2026,12,Dec,0.03988287811658642,0.018481254546120596,0.16922809138193673,0.014714782745477153,0.0532837549855768,0.25597451107819547,85.0
2027,1,Jan,0.0,0.0,0.17370216880742262,0.014871446034854388,0.05364219498448677,0.2296556734293187,86.0
2027,2,Feb,0.0,0.0,0.1470036410308685,0.014871446034854388,0.05364219498448677,0.20476506059692856,86.0
2027,3,Mar,0.0,0.0,0.061619723419051864,0.014871446034854388,0.05364219498448677,0.1251629921542342,86.0
2027,4,Apr,0.0,0.0,0.012639442724596939,0.014871446034854388,0.05364219498448677,0.07949945544573822,86.0
2027,5,May,0.020487225671909415,0.009442635667432309,0.0,0.014871446034854388,0.05364219498448677,0.08681581867628785,86.0
2027,6,Jun,0.09832397725814457,0.046329924350243634,0.0,0.014871446034854388,0.05364219498448677,0.15938178426354732,86.0
2027,7,Jul,0.15261487954418984,0.07309110718572631,0.0,0.014871446034854388,0.05364219498448677,0.2099963290216964,86.0
2027,8,Aug,0.36580576048988045,0.18838159998309167,0.0,0.014871446034854388,0.05364219498448677,0.40875079673715464,86.0
2027,9,Sep,0.4843876213693489,0.2618439301660881,0.0,0.014871446034854388,0.05364219498448677,0.5193027797078114,86.0
2027,10,Oct,0.36580576048988045,0.18838159998309167,0.0,0.014871446034854388,0.05364219498448677,0.40875079673715464,86.0
