month,date,p5,p10,p25,p50,p75,p90,p95,p99,mean
0,2026-01-01,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
1,2026-01-31,3.7404984472585743,3.9725965948174653,4.344378264526779,4.7572461184105155,5.320025754673235,7.355549856811809,8.956229294759002,12.939407094450877,5.2859476537572565
2,2026-03-02,3.855142688901925,4.328772665329258,5.012849212983481,5.861858044225334,7.344336557059185,10.046291205962563,12.763796916185996,19.165102010201128,6.687607458396377
3,2026-04-01,3.743088558587906,4.446766450997154,5.398262130422352,6.515684417300796,8.283562913918523,11.297937694434864,14.028238018719682,22.80826174880283,7.366893296894474
4,2026-05-01,3.6827154241534377,4.6262751719079915,5.7334734713980335,7.029213327498248,8.911809602856103,11.891240645085547,14.788918091792578,24.808047708047233,7.831858667189296
5,2026-05-31,3.6535589789259917,4.778286088409874,6.067054645259871,7.496809185844967,9.522930681293767,12.553879134793485,15.315019533751755,24.65366012694303,8.250514441437963
6,2026-06-30,3.643269350087772,4.812377324982416,6.39112006120561,7.9566256837221765,10.065425384005145,13.0655854421431,16.074541256365737,24.400749325236955,8.637153979647747
7,2026-07-30,3.50240904359206,4.875058390528939,6.5864002483466955,8.301995210417203,10.601802270127514,13.689759854996458,16.41502511199177,24.890561029923436,8.957959271012236
8,2026-08-29,3.6358370716297883,4.980416648027953,6.830587488580415,8.742441313207973,11.293602128726246,14.54653288575697,17.620643348382693,25.0,9.421219617415602
9,2026-09-28,3.7451108824413715,5.217672412974786,7.1779396607137524,9.303473487292116,11.943233439325764,15.56065411936842,18.717987363562443,25.0,9.960759966606306
10,2026-10-28,3.7530673497105256,5.296833766555183,7.333580353571599,9.610598417721903,12.458740941051966,16.35982278306838,19.825521225365417,25.0,10.314053728834816
11,2026-11-27,3.6703064526460873,5.168285648815387,7.429652381351189,9.751210015712754,12.733596446469091,16.607018187296354,20.245659245129787,25.0,10.471377692107069
12,2026-12-27,4.001651984679652,5.661321720295197,7.926820933760913,10.585670292529576,13.908411869856304,18.570795082756685,22.134948883937888,25.0,11.350672349333466
13,2027-01-26,3.823612984552193,5.5876686260231105,7.968691431982244,10.837225531396488,14.591295802302206,19.56883531691682,23.857159752300067,25.0,11.711113448556047
14,2027-02-25,3.4042682647616513,5.451972693036668,7.939235128497582,10.859206098978989,14.893119021995236,20.120622985819256,24.52535574857621,25.0,11.78160705062962
15,2027-03-27,3.2344242372764964,5.0926780713792725,7.673213566599732,10.558578863438484,14.480855994336586,19.81003945385859,24.018671206645198,25.0,11.484136981817333
16,2027-04-26,2.9725780442100604,4.795693638838153,7.262679954701467,10.126377773804023,13.963640004204098,18.993214418950263,22.658137833684723,25.0,11.032393173373672
17,2027-05-26,2.9883614239479543,4.607981199098175,7.12086333040239,9.837698446245248,13.551400536242415,18.373036631846812,22.004998608182788,25.0,10.735958963697174
18,2027-06-25,2.9166170917300094,4.628374096579495,7.010099601342953,9.718825539375022,13.267054978487721,18.04103593278506,21.79435150943262,25.0,10.594251746622586
19,2027-07-25,2.9534644444568454,4.441802798209648,6.94242772052835,9.570210587595469,13.054095768691095,17.848504656776953,21.522619617573277,25.0,10.442500428396746
20,2027-08-24,3.119564325970681,4.589800605482688,6.95443953274423,9.579329182573069,13.123122747942642,17.90635467679476,21.39054577420055,25.0,10.482133710562142
21,2027-09-23,3.416001395434635,4.890067621291215,7.1364450527356516,9.812930121426355,13.27908187511787,18.100538682106976,21.77563992248401,25.0,10.69643898529505
22,2027-10-23,3.499387602602075,4.928777656890053,7.171929611471116,9.776566705785221,13.265322337648659,17.98552847447068,21.445014224175157,25.0,10.690898425338975
23,2027-11-22,3.17390798082509,4.715974788462353,6.981374000473758,9.644876610287795,13.273545323482972,17.796029794405722,21.58989446697488,25.0,10.55708239821975
24,2027-12-22,3.3309787552383905,5.039566873524859,7.355277566277315,10.206891340125388,14.079787135009704,19.008369233516348,23.065072961751074,25.0,11.141613193190725
25,2028-01-21,3.42311118443175,5.079232762316013,7.3540588465211,10.395233394199135,14.628389316316074,19.734540787748795,23.657984002269252,25.0,11.406563568568778
26,2028-02-20,3.304120016357572,4.918251867589999,7.386113816924072,10.454393569849593,14.728714203379486,20.40642533542011,24.334796645037194,25.0,11.50733247174537
27,2028-03-21,2.9881564715062643,4.516689720190427,6.989571647990951,9.995348467906755,14.254676045199249,19.699737847232797,23.688071643587854,25.0,11.061417578562232
28,2028-04-20,2.8054468824622862,4.3307234065519875,6.661207029410859,9.442567646538109,13.60774591117035,18.975965398535113,22.983313389739557,25.0,10.618061347062284
29,2028-05-20,2.749807233983318,4.103628377773282,6.413362425717089,9.116421624925241,13.061131277450443,18.214978488785526,21.62844451974672,25.0,10.22911527873716
30,2028-06-19,2.7242745845797307,4.048021814786544,6.310648422504202,8.96798775057729,12.65013976682356,17.586805602121906,21.324681462569842,25.0,10.000722908087903
31,2028-07-19,2.720256643021516,4.057747011319962,6.235022424224968,8.81946309428604,12.342764443515748,17.254517369546996,20.8997620592258,25.0,9.81413338025463
32,2028-08-18,2.843340148998263,4.142738772448422,6.2798914068231415,8.754002631336146,12.276669498780432,17.014107895090604,20.691409036388624,25.0,9.799979815752879
33,2028-09-17,2.9386021207931106,4.2517787138329,6.39495719352759,8.928843493677963,12.42287379304734,17.029790873506872,20.969580454381568,25.0,9.917740143267892
34,2028-10-17,2.7874412081980355,4.231801119806453,6.42398601262067,8.937957391757347,12.544819530694161,17.191124095170665,20.832655091863526,25.0,9.94745833978623
35,2028-11-16,2.753545374505995,4.117268946002802,6.34626622017874,8.839941537232246,12.304882537942682,16.934457650303557,20.849348092798333,25.0,9.82976406300733
36,2028-12-16,3.1103844532347464,4.512936824823137,6.65312034135421,9.333002378884288,13.042484508589792,18.04372906364006,21.670050274483263,25.0,10.375565335181662
37,2029-01-15,3.212314515356841,4.608557955157043,6.782346471951062,9.63978983333848,13.70615412866148,18.98731107413307,22.76307664261188,25.0,10.745636487229865
38,2029-02-14,3.137376885460711,4.620307744049887,6.8445800758957365,9.857152802597636,13.95335340230066,19.39957126268594,23.211930309703515,25.0,10.925415231537194
39,2029-03-16,2.776770386855637,4.280345230455229,6.617295815788937,9.434372046219883,13.584744010248093,19.09435609634351,22.890999356391344,25.0,10.606393008299108
