variable,unit,category,description,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,blue_smr_ccs,gray_smr,green_pem
ira_itc_rate,fraction (0-1),policy,Investment Tax Credit rate (IRA Section 48/48E),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.225,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
ira_ptc_value,$/MWh (real 2024 USD),policy,Production Tax Credit value (IRA Section 45/45Y),27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,20.6,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lcoh_atr_ccs,$/kg H2 (real 2024 USD),technology_costs,Levelized cost of hydrogen via autothermal reforming + CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lcoh_blue_post_subsidy,$/kg H2 (real 2024 USD),costs,Post-45V-PTC lcoh_blue,0.8722,0.926,0.8803,0.8472,0.8533,0.8672,0.9022,0.9286,1.01,,,,,,,,,,,,,,,,,,,,,
lcoh_blue_smr_ccs,$/kg H2 (real 2024 USD),technology_costs,Levelized cost of blue hydrogen (SMR + CCS),0.8784,0.9322,0.8866,0.8535,0.8595,0.8734,0.9084,0.9349,1.0163,1.0717,1.1045,1.1091,1.0919,1.069,1.0302,0.9812,0.951,0.9491,0.9419,0.9465,0.9726,0.9908,1.0048,1.0064,1.0106,1.0103,1.0095,,,
lcoh_gray_smr,$/kg H2 (real 2024 USD),technology_costs,Levelized cost of gray hydrogen (unabated SMR),0.4574,0.5212,0.5097,0.5014,0.5128,0.5263,0.5601,0.5811,0.6603,0.709,0.7418,0.7507,0.7379,0.7205,0.6882,0.6502,0.6281,0.6305,0.6245,0.6287,0.6532,0.6704,0.6821,0.6825,0.686,0.6844,0.6831,,,
lcoh_green_electrolysis,$/kg H2 (real 2024 USD),technology_costs,Levelized cost of green hydrogen (electrolysis),4.2958,4.0983,3.5366,3.1229,3.0185,3.0106,3.0059,3.0692,3.0758,3.1538,3.1286,3.0491,2.9679,2.8699,2.7669,2.5923,2.4644,2.3863,2.3553,2.3505,2.3556,2.3534,2.3743,2.3762,2.3718,2.3819,2.3737,,,
lcoh_green_post_subsidy,$/kg H2 (real 2024 USD),costs,Post-45V-PTC lcoh_green,4.2895,4.092,3.5303,3.1167,3.0123,3.0044,2.9996,3.0629,3.0695,,,,,,,,,,,,,,,,,,,,,
ngcc_capex,$/kW (real 2024 USD),technology_costs,Natural gas combined cycle overnight capital cost,1562.204937,1546.569859,1530.816332,1515.062806,1499.427728,1483.674201,1468.039123,1452.285597,1436.650518,1420.896992,1405.143466,1389.508387,1377.782078,1365.937322,1354.211013,1342.484704,1330.758395,1318.913638,1307.187329,1295.46102,1283.734711,1271.889955,1260.163646,1248.437337,1236.711028,1224.866272,1213.139963,,,
ngcc_ccs_capex,$/kW (real 2024 USD),technology_costs,Natural gas CC with CCS (90% capture) capital cost,3085.20373,2995.183581,2905.281879,2815.380177,2725.360027,2635.458325,2545.438176,2455.536474,2365.516324,2275.614622,2185.594473,2095.692771,2071.766363,2047.839954,2023.913546,2000.105586,1976.179177,1952.252769,1928.326361,1904.518401,1880.591992,1856.665584,1832.739176,1808.812768,1785.004807,1761.078399,1737.151991,,,
