scenario,variable,unit,category,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
conservative,battery_utility_rte,fraction (0-1),technology_costs,0.86,0.8608,0.8615,0.8623,0.8631,0.8638,0.8646,0.8654,0.8662,0.8669,0.8677,0.8685,0.8692,0.87,0.8708,0.8715,0.8723,0.8731,0.8738,0.8746,0.8754,0.8762,0.8769,0.8777,0.8785,0.8792,0.88
conservative,ngcc_capex,$/kW (real 2024 USD),technology_costs,1574.049694,1564.218546,1554.387398,1544.55625,1534.84355,1525.012402,1515.181254,1505.350106,1495.637406,1485.806258,1475.97511,1466.143962,1456.312814,1446.600114,1436.768966,1426.937818,1417.10667,1407.393969,1397.562822,1387.731674,1377.900526,1368.069378,1358.356677,1348.52553,1338.694382,1328.863234,1319.150533
conservative,ngcc_heat_rate,MMBtu/MWh,technology_costs,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363,6.363
conservative,ngcc_lcoe,$/MWh (real 2024 USD),technology_costs,55.67,55.48,55.29,55.09,54.9,54.7,54.48,54.29,54.1,53.9,53.71,53.52,53.33,53.13,52.94,52.75,52.56,52.36,52.17,51.98,51.79,51.59,51.4,51.21,51.02,50.81,50.62
conservative,ngct_capex,$/kW (real 2024 USD),technology_costs,1412.842557,1402.419172,1391.995786,1381.5724,1371.149015,1360.844076,1350.420691,1339.997305,1329.573919,1319.150533,1308.727148,1298.303762,1287.880376,1277.575438,1267.152052,1256.728667,1246.305281,1235.881895,1225.458509,1215.035124,1204.611738,1194.3068,1183.883414,1173.460028,1163.036642,1152.613257,1142.189871
conservative,ngcc_ccs_capex,$/kW (real 2024 USD),technology_costs,3204.835771,3174.631642,3144.427513,3114.341831,3084.137702,3053.933573,3023.847891,2993.643762,2963.439633,2933.353952,2903.149823,2872.945693,2842.860012,2812.655883,2782.451754,2752.366072,2722.161943,2691.957814,2661.872132,2631.668003,2601.463874,2571.378192,2541.174063,2510.969934,2480.884253,2450.680124,2420.475994
conservative,ngcc_ccs_lcoe,$/MWh (real 2024 USD),technology_costs,92.69,92.08,91.49,90.89,90.3,89.71,89.1,88.5,87.91,87.33,86.71,86.13,85.53,84.94,84.35,83.74,83.14,82.55,81.97,81.35,80.76,80.17,79.58,78.99,78.38,77.78,77.19
conservative,nuclear_conventional_capex,$/kW (real 2024 USD),technology_costs,,,,,,,12580.905396,12580.905396,12580.905396,12580.905396,12580.905396,12580.905396,12500.77224,12420.639085,12340.50593,12260.372774,12180.239619,11939.840153,11699.440686,11459.04122,11218.641754,10978.242288,10737.842822,10497.443356,10257.043889,10016.644423,9776.244957
conservative,nuclear_smr_capex,$/kW (real 2024 USD),technology_costs,,,,,,,13479.086755,13345.63045,13212.174146,13078.717841,12945.261537,12811.805232,12411.436319,12011.067405,11610.698492,11210.329578,10809.960665,10543.048056,10276.135447,10009.222838,9742.310229,9475.39762,9275.213163,9075.028706,8874.84425,8674.659793,8474.475336
conservative,nuclear_lcoe,$/MWh (real 2024 USD),technology_costs,,,,,,,124.762367,124.762367,124.762367,124.762367,124.762367,124.762367,124.237003,123.711639,123.186275,122.660911,122.135548,120.559456,118.983365,117.407274,115.831182,114.255091,112.678999,111.102908,109.526817,107.950725,106.374634
conservative,electrolyzer_pem_capex,$/kW (real 2024 USD),technology_costs,1100,958,817,675,533,392,250,242,233,225,217,208,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
conservative,electrolyzer_alkaline_capex,$/kW (real 2024 USD),technology_costs,500,442,383,325,267,208,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
conservative,electrolyzer_soec_capex,$/kW (real 2024 USD),technology_costs,2500,2318,2136,1955,1773,1591,1409,1227,1045,864,682,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
conservative,electrolyzer_efficiency,kWh/kg H2,technology_costs,54.5,54.2,54.0,53.7,53.4,53.2,52.9,52.6,52.4,52.1,51.8,51.6,51.3,51.0,50.8,50.5,50.3,50.0,49.7,49.5,49.2,48.9,48.7,48.4,48.1,47.9,47.6
conservative,lcoh_green_electrolysis,$/kg H2 (real 2024 USD),technology_costs,7.4405,6.9573,6.4742,5.991,5.5079,5.0247,4.5416,4.0584,3.5753,3.0921,2.609,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258,2.1258
conservative,lcoh_blue_smr_ccs,$/kg H2 (real 2024 USD),technology_costs,2.551,2.5607,2.5703,2.58,2.5897,2.5993,2.609,2.6187,2.6283,2.638,2.6476,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573,2.6573
conservative,lcoh_gray_smr,$/kg H2 (real 2024 USD),technology_costs,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755,1.2755
conservative,lcoh_atr_ccs,$/kg H2 (real 2024 USD),technology_costs,,,,,,,,,,,,,,,,,,,,,,,,,,,
conservative,geothermal_capex,$/kW (real 2024 USD),technology_costs,7592.471739,7555.298342,7518.310812,7481.50822,7444.889641,7408.454155,7372.200846,7336.128804,7300.237122,7264.524899,7228.991236,7193.635242,7158.456028,7123.45271,7088.624409,7053.970249,7019.489359,6985.180875,6951.043932,6917.077675,6883.281248,6849.653804,6816.194497,6782.902487,6749.776937,6716.817014,6684.021891
conservative,coal_ccs_capex,$/kW (real 2024 USD),technology_costs,6978.983731,6914.504561,6850.156713,6785.677543,6721.329695,6656.850525,6592.371355,6528.023507,6463.544337,6399.327811,6334.979963,6270.238149,6205.890301,6141.411131,6076.931961,6012.584113,5948.104943,5883.757095,5819.277925,5754.798755,5690.450907,5625.971737,5561.62389,5497.14472,5432.665549,5368.317702,5303.838532
conservative,ccus_cost_transport_storage,$/tonne CO2 (real 2024 USD),ccus,18.0,17.5,16.9,16.4,15.8,15.3,14.7,14.2,13.6,13.1,12.5,12.0,11.9,11.7,11.6,11.5,11.3,11.2,11.1,10.9,10.8,10.7,10.5,10.4,10.3,10.1,10.0
conservative,ira_itc_rate,fraction (0-1),policy,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.225,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conservative,ira_ptc_value,$/MWh (real 2024 USD),policy,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,20.6,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moderate,solar_pv_utility_capex,$/kW (real 2024 USD),technology_costs,1648.886539,1585.502238,1522.117937,1458.733636,1395.349335,1331.965034,1268.580732,1205.196431,1141.81213,1078.427829,1015.043528,951.659227,936.606452,921.553678,906.500903,891.448129,876.395354,861.342579,846.289805,831.23703,816.184256,801.131481,786.078707,771.025932,755.973158,740.920383,725.867609
moderate,solar_pv_utility_fom,$/kW-yr (real 2024 USD),technology_costs,22.968628,22.322569,21.678653,21.036792,20.396905,19.758914,19.122745,18.488329,17.8556,17.224494,16.594951,15.966915,15.80497,15.643323,15.48197,15.320905,15.160124,14.999623,14.839397,14.679442,14.519753,14.360326,14.201157,14.042242,13.883577,13.725158,13.566982
moderate,solar_pv_utility_lcoe,$/MWh (real 2024 USD),technology_costs,49.9566,47.841105,45.752448,43.690101,41.653553,39.642305,37.655873,35.693785,33.755584,31.840821,29.949062,28.079884,27.561867,27.048081,26.538475,26.032997,25.531597,25.034225,24.540832,24.05137,23.565793,23.084053,22.606105,22.131904,21.661406,21.194567,20.731345
moderate,solar_pv_utility_cf,fraction (0-1),technology_costs,0.265889,0.267539,0.269188,0.270838,0.272488,0.274137,0.275787,0.277437,0.279087,0.280736,0.282386,0.284036,0.285172,0.286309,0.287445,0.288582,0.289718,0.290855,0.291991,0.293128,0.294264,0.295401,0.296537,0.297674,0.29881,0.299947,0.301083
moderate,solar_pv_commercial_capex,$/kW (real 2024 USD),technology_costs,1907.672768,1854.006713,1800.340658,1746.674603,1693.008548,1639.342494,1585.676439,1532.010384,1478.344329,1424.678274,1371.012219,1317.346164,1295.368614,1273.391064,1251.413514,1229.435964,1207.458414,1185.480864,1163.503314,1141.525764,1119.548214,1097.570664,1075.593114,1053.615564,1031.638014,1009.660464,987.682914
moderate,solar_pv_residential_capex,$/kW (real 2024 USD),technology_costs,2764.217606,2677.474117,2590.730627,2503.987138,2417.243649,2330.50016,2243.756671,2157.013181,2070.269692,1983.526203,1896.782714,1810.039225,1774.976039,1739.912854,1704.849669,1669.786483,1634.723298,1599.660112,1564.596927,1529.533742,1494.470556,1459.407371,1424.344186,1389.281,1354.217815,1319.154629,1284.091444
moderate,csp_capex,$/kW (real 2024 USD),technology_costs,7683.875229,7320.871125,6957.86702,6594.862916,6231.858812,5868.854708,5505.850604,5467.329751,5428.808899,5390.288046,5351.767193,5313.24634,5274.725487,5236.204634,5197.683782,5159.162929,5120.642076,5082.121223,5043.60037,5005.079517,4966.558665,4928.037812,4889.516959,4850.996106,4812.475253,4773.9544,4735.433548
moderate,wind_onshore_capex,$/kW (real 2024 USD),technology_costs,1781.563124,1667.834633,1633.577442,1599.320252,1565.063061,1530.805871,1496.54868,1480.974436,1465.400192,1449.825948,1434.251704,1418.67746,1403.103216,1387.528972,1371.954728,1356.380484,1340.806239,1325.231995,1309.657751,1294.083507,1278.509263,1262.935019,1247.360775,1231.786531,1216.212287,1200.638043,1185.063799
moderate,wind_onshore_fom,$/kW-yr (real 2024 USD),technology_costs,33.639694,33.217277,32.794861,32.372445,31.950029,31.527612,31.105196,30.892068,30.67894,30.465811,30.252683,30.039555,29.826427,29.613299,29.400171,29.187042,28.973914,28.760786,28.547658,28.33453,28.121401,27.908273,27.695145,27.482017,27.268889,27.05576,26.842632
moderate,wind_onshore_lcoe,$/MWh (real 2024 USD),technology_costs,34.54208,32.525664,31.68616,30.858986,30.043872,29.240556,28.448784,28.156515,27.864717,27.57339,27.282533,26.992144,26.702222,26.412766,26.123775,25.835248,25.547184,25.259581,24.972439,24.685756,24.399532,24.113764,23.828453,23.543596,23.259194,22.975244,22.691746
moderate,wind_onshore_cf,fraction (0-1),technology_costs,0.454938,0.458354,0.46177,0.465186,0.468602,0.472018,0.475434,0.475818,0.476203,0.476587,0.476971,0.477355,0.47774,0.478124,0.478508,0.478893,0.479277,0.479661,0.480046,0.48043,0.480814,0.481198,0.481583,0.481967,0.482351,0.482736,0.48312
moderate,wind_offshore_fixed_capex,$/kW (real 2024 USD),technology_costs,6366.52142,6246.893895,6150.156017,6069.242852,5614.688309,5168.930786,4730.079458,4264.006025,3810.15266,3750.6516,3698.24458,3651.489765,3620.129294,3590.926096,3563.61655,3537.982173,3513.839244,3491.032443,3469.428958,3448.914598,3429.390372,3410.770019,3392.977763,3375.946905,3359.618403,3343.939464,3328.863184
moderate,wind_offshore_fixed_lcoe,$/MWh (real 2024 USD),technology_costs,118.753437,115.848319,113.49904,111.560596,104.193745,97.077309,90.146243,82.645836,75.473011,74.167105,73.043594,72.02776,71.36951,70.737193,70.155539,69.605551,69.098139,68.615844,68.15619,67.731075,67.310518,66.920866,66.546716,66.186795,65.853616,65.518989,65.209085
moderate,wind_offshore_floating_capex,$/kW (real 2024 USD),technology_costs,,,,,,,9583.495615,8233.475385,7241.968049,6907.524313,6654.996604,6453.599534,6008.496523,5711.435497,5491.169303,5317.519455,5174.991796,5054.620433,4950.771544,4859.684811,4778.731225,4706.004643,4640.080434,4579.867707,4524.513617,4473.339139,4425.795351
moderate,battery_utility_capex_power,$/kW (real 2024 USD),technology_costs,2060.165136,1819.093009,1763.811515,1708.525966,1653.235872,1597.940659,1542.639657,1520.546558,1498.454148,1476.362453,1454.271502,1432.181323,1410.091948,1388.003411,1365.915746,1343.82899,1321.743182,1299.658364,1277.574578,1255.491871,1233.410293,1211.329895,1189.250732,1167.172864,1145.096353,1123.021266,1100.947674
moderate,battery_utility_capex_energy,$/kWh (real 2024 USD),technology_costs,515.041284,454.773252,440.952879,427.131491,413.308968,399.485165,385.659914,380.13664,374.613537,369.090613,363.567876,358.045331,352.522987,347.000853,341.478936,335.957247,330.435795,324.914591,319.393644,313.872968,308.352573,302.832474,297.312683,291.793216,286.274088,280.755316,275.236919
moderate,battery_utility_lcos,$/MWh (real 2024 USD),technology_costs,181.91,165.81,162.09,158.37,154.64,150.92,147.19,145.68,144.16,142.66,141.14,139.63,138.12,136.61,135.09,133.59,132.07,130.56,129.05,127.54,126.03,124.51,123.01,121.49,119.98,118.48,116.96
moderate,battery_utility_rte,fraction (0-1),technology_costs,0.86,0.8608,0.8615,0.8623,0.8631,0.8638,0.8646,0.8654,0.8662,0.8669,0.8677,0.8685,0.8692,0.87,0.8708,0.8715,0.8723,0.8731,0.8738,0.8746,0.8754,0.8762,0.8769,0.8777,0.8785,0.8792,0.88
moderate,ngcc_capex,$/kW (real 2024 USD),technology_costs,1568.127315,1555.334978,1542.661089,1529.868752,1517.076415,1504.402525,1491.610188,1478.817851,1466.143962,1453.351625,1440.559288,1427.885398,1417.10667,1406.327941,1395.549213,1384.652037,1373.873309,1363.09458,1352.315852,1341.537123,1330.758395,1319.979666,1309.200938,1298.422209,1287.643481,1276.864753,1266.086024
moderate,ngcc_heat_rate,MMBtu/MWh,technology_costs,6.332,6.316,6.3,6.285,6.269,6.253,6.238,6.222,6.206,6.19,6.175,6.159,6.159,6.159,6.159,6.159,6.159,6.159,6.159,6.159,6.159,6.159,6.159,6.159,6.159,6.159,6.159
moderate,ngcc_lcoe,$/MWh (real 2024 USD),technology_costs,55.4,55.07,54.72,54.41,54.06,53.74,53.42,53.07,52.76,52.41,52.1,51.77,51.54,51.34,51.13,50.91,50.71,50.48,50.27,50.06,49.86,49.63,49.41,49.21,49.0,48.79,48.57
moderate,ngct_capex,$/kW (real 2024 USD),technology_costs,1412.842557,1402.419172,1391.995786,1381.5724,1371.149015,1360.844076,1350.420691,1339.997305,1329.573919,1319.150533,1308.727148,1298.303762,1287.880376,1277.575438,1267.152052,1256.728667,1246.305281,1235.881895,1225.458509,1215.035124,1204.611738,1194.3068,1183.883414,1173.460028,1163.036642,1152.613257,1142.189871
moderate,ngcc_ccs_capex,$/kW (real 2024 USD),technology_costs,3145.019751,3084.966835,3024.91392,2964.861004,2904.689641,2844.636725,2784.58381,2724.530894,2664.477979,2604.425063,2544.372148,2484.319232,2457.313187,2430.307142,2403.18265,2376.176605,2349.17056,2322.164515,2295.040023,2268.033978,2241.027933,2214.021888,2187.015843,2159.891351,2132.885306,2105.879261,2078.873216
moderate,ngcc_ccs_lcoe,$/MWh (real 2024 USD),technology_costs,91.18,89.86,88.51,87.17,85.82,84.51,83.16,81.82,80.47,79.13,77.8,76.47,75.93,75.41,74.86,74.32,73.79,73.25,72.73,72.18,71.67,71.13,70.58,70.06,69.52,68.99,68.45
