region,category,level,parent,display_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
africa,battery_storage,2,power,Battery storage,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
africa,clean_energy,1,total,of which: Clean energy,28.70,29.20,27.20,26.10,24.70,25.20,29.90,35.90,40.40,47.40,50.20
africa,clean_fuels,2,fuels,Clean Fuels,0.30,0.40,0.40,0.20,0.10,0.10,0.00,0.10,0.10,0.10,0.10
africa,direct_air_capture,2,fuels,Direct Air Capture,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
africa,efficiency_buildings,3,energy_efficiency,Efficiency: Buildings,3.50,3.80,4.10,4.30,4.60,4.80,5.20,5.60,6.70,7.70,7.90
africa,efficiency_industry,3,energy_efficiency,Efficiency: Industry,0.70,0.80,0.90,0.90,0.80,0.90,1.00,1.00,1.10,1.30,1.30
africa,efficiency_transport,3,energy_efficiency,Efficiency: Transport,0.20,1.10,1.10,1.10,1.60,1.60,2.70,3.00,3.50,4.10,2.70
africa,electricity_networks,2,power,Electricity networks,12.20,12.00,11.10,10.00,8.00,6.60,7.80,9.20,9.10,12.80,13.70
africa,end_use,1,,End-use,4.90,6.30,6.60,6.90,7.50,8.00,9.40,10.10,12.00,14.20,13.60
africa,energy_efficiency,2,end_use,Energy efficiency,4.40,5.70,6.00,6.40,6.90,7.40,9.00,9.60,11.30,13.00,11.90
africa,fossil_coal,3,fossil_fuels,Coal,1.90,2.40,2.50,2.10,2.10,1.50,1.70,1.70,1.70,1.80,1.80
africa,fossil_fuels,2,fuels,Fossil fuels,111.90,86.20,72.30,66.80,64.60,46.50,47.90,52.00,62.70,64.80,53.20
africa,fossil_gas,3,fossil_fuels,Gas,28.90,26.10,24.60,20.30,22.20,16.20,16.30,15.60,17.40,18.40,15.10
africa,fossil_oil,3,fossil_fuels,Oil,81.00,57.70,45.30,44.40,40.30,28.70,29.90,34.80,43.60,44.60,36.30
africa,fuels,1,,Fuels,112.10,86.60,72.70,67.00,64.70,46.60,47.90,52.10,62.80,64.90,53.30
africa,gen_coal_unabated,3,generation,Coal (unabated),2.00,2.10,2.10,1.70,1.50,1.60,1.30,0.90,0.70,0.30,0.00
africa,gen_fossil_ccus,3,generation,Fossil fuels with CCUS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
africa,gen_nuclear,3,generation,Nuclear,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.70,0.70,1.10
africa,gen_oil_gas_unabated,3,generation,Oil & natural gas (unabated),10.90,11.40,9.90,6.60,4.80,3.10,3.70,3.60,3.80,4.30,1.70
africa,gen_other_clean,3,generation,Other clean power,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
africa,gen_other_clean_ammonia,4,gen_other_clean,Ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
africa,gen_other_clean_heat_pumps,4,gen_other_clean,Large scale heat pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
africa,gen_other_clean_hydrogen,4,gen_other_clean,Hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
africa,gen_renewables,3,generation,Renewables,11.40,10.50,9.00,8.90,9.20,10.50,12.70,16.10,18.40,19.50,21.00
africa,gen_renewables_other,4,gen_renewables,Other renewables,6.40,5.80,4.70,4.30,4.30,5.00,5.90,6.30,6.20,5.90,5.60
africa,gen_renewables_solar,4,gen_renewables,Solar,2.80,3.10,3.30,3.90,3.50,3.90,5.40,7.90,9.10,9.30,10.30
africa,gen_renewables_wind,4,gen_renewables,Wind,2.20,1.60,1.00,0.80,1.30,1.60,1.40,1.90,3.10,4.30,5.10
africa,gen_waste_nonrenewable,3,generation,Waste: non-renewable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
africa,generation,2,power,Generation,24.30,24.00,21.00,17.20,15.50,15.20,17.70,20.90,23.60,24.80,23.90
africa,memo_oil_gas_upstream,0,,Memo: Oil & gas upstream,96.90,71.40,58.50,53.40,50.00,30.90,31.80,34.50,42.20,47.70,42.20
