variable,unit,category,geography,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
emissions_co2_industry,Mt CO2,emissions,world,9057.03,8806.464545,8555.899091,8305.333636,8054.768182,7804.202727,7553.637273,7303.071818,7052.506364,6801.940909,6551.375455,6300.81,5806.928,5313.046,4819.164,4325.282,3831.4,3493.499,3155.598,2817.697,2479.796,2141.895,1803.994,1466.093,1128.192,790.291,452.39
emissions_co2_per_capita,t CO2/person,emissions,,0.558782,0.554336,0.54996,0.545652,0.541412,0.537237,0.533125,0.529077,0.525089,0.521161,0.517291,0.513478,0.510143,0.506851,0.503602,0.500393,0.497226,0.494619,0.492039,0.489486,0.48696,0.484459,0.481984,0.479534,0.477109,0.474708,0.472331
emissions_co2_per_gdp,kg CO2/$ GDP,emissions,,0.023027,0.022262,0.021546,0.020874,0.020244,0.01965,0.01909,0.018561,0.018061,0.017587,0.017137,0.01671,0.016266,0.015844,0.015445,0.015064,0.014703,0.014343,0.014,0.013674,0.013362,0.013064,0.012779,0.012507,0.012246,0.011995,0.011754
emissions_co2_power,Mt CO2,emissions,us,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0
emissions_co2_total,Mt CO2,emissions,us,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18,4521.18
emissions_co2_transport,Mt CO2,emissions,world,8358.32,8075.316364,7792.312727,7509.309091,7226.305455,6943.301818,6660.298182,6377.294545,6094.290909,5811.287273,5528.283636,5245.28,4847.12,4448.96,4050.8,3652.64,3254.48,3018.305,2782.13,2545.955,2309.78,2073.605,1837.43,1601.255,1365.08,1128.905,892.73
energy_intensity_gdp,MJ/$ GDP (real 2024 USD),macro,world,3.33,3.219091,3.108182,2.997273,2.886364,2.775455,2.664545,2.553636,2.442727,2.331818,2.220909,2.11,2.046,1.982,1.918,1.854,1.79,1.759,1.728,1.697,1.666,1.635,1.604,1.573,1.542,1.511,1.48
gdp_growth_rate,fraction (annual),macro,,,0.034367,0.033225,0.032157,0.031155,0.030214,0.029328,0.028492,0.027703,0.026956,0.026248,0.025577,0.027304,0.026578,0.02589,0.025236,0.024615,0.02508,0.024467,0.023883,0.023325,0.022794,0.022286,0.0218,0.021335,0.020889,0.020462
gdp_real,$ trillion (real 2024 USD),macro,world,196.3459,203.093745,209.841591,216.589436,223.337282,230.085127,236.832973,243.580818,250.328664,257.076509,263.824355,270.5722,277.9598,285.3474,292.735,300.1226,307.5102,315.2227,322.9352,330.6477,338.3602,346.0727,353.7852,361.4977,369.2102,376.9227,384.6352
generation_biomass,TWh,electricity,world,760.12,854.829091,949.538182,1044.247273,1138.956364,1233.665455,1328.374545,1423.083636,1517.792727,1612.501818,1707.210909,1801.92,1904.602,2007.284,2109.966,2212.648,2315.33,2375.469,2435.608,2495.747,2555.886,2616.025,2676.164,2736.303,2796.442,2856.581,2916.72
generation_coal,TWh,electricity,us,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4,717.4
generation_hydro,TWh,electricity,world,4447.86,4572.82,4697.78,4822.74,4947.7,5072.66,5197.62,5322.58,5447.54,5572.5,5697.46,5822.42,5959.13,6095.84,6232.55,6369.26,6505.97,6595.19,6684.41,6773.63,6862.85,6952.07,7041.29,7130.51,7219.73,7308.95,7398.17
generation_hydrogen_ammonia,TWh,electricity,world,0.0,46.696364,93.392727,140.089091,186.785455,233.481818,280.178182,326.874545,373.570909,420.267273,466.963636,513.66,560.814,607.968,655.122,702.276,749.43,758.358,767.286,776.214,785.142,794.07,802.998,811.926,820.854,829.782,838.71
generation_natural_gas,TWh,electricity,us,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37,1929.37
generation_nuclear,TWh,electricity,us,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49,815.49
generation_solar,TWh,electricity,us,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77,278.77
generation_total,TWh,electricity,us,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0,4564.0
generation_wind,TWh,electricity,us,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62,458.62
grid_emissions_intensity,g CO2/kWh,electricity,world,445.56,411.64,377.72,343.8,309.88,275.96,242.04,208.12,174.2,140.28,106.36,72.44,58.738,45.036,31.334,17.632,3.93,3.15,2.37,1.59,0.81,0.03,-0.75,-1.53,-2.31,-3.09,-3.87
h2_demand_buildings,Mt H2/yr,hydrogen,world,0.0,0.089394,0.178788,0.268182,0.357576,0.44697,0.536363,0.625757,0.715151,0.804545,0.893939,0.983333,1.185,1.386667,1.588333,1.79,1.991667,2.0175,2.043334,2.069167,2.095,2.120833,2.146667,2.1725,2.198333,2.224167,2.25
h2_demand_industrial,Mt H2/yr,hydrogen,world,0.008333,0.955303,1.902272,2.849242,3.796212,4.743182,5.690151,6.637121,7.584091,8.531061,9.47803,10.425,12.548333,14.671667,16.795,18.918334,21.041667,22.503334,23.965,25.426667,26.888333,28.35,29.811667,31.273333,32.735,34.196666,35.658333
h2_demand_power,Mt H2/yr,hydrogen,world,0.0,0.223818,0.447636,0.671455,0.895273,1.119091,1.342909,1.566727,1.790545,2.014364,2.238182,2.462,2.765,3.068,3.371,3.674,3.977,4.0495,4.122,4.1945,4.267,4.3395,4.412,4.4845,4.557,4.6295,4.702
h2_demand_transport,Mt H2/yr,hydrogen,world,0.1,1.208333,2.316667,3.425,4.533333,5.641667,6.75,7.858334,8.966667,10.075,11.183334,12.291667,14.338334,16.385,18.431667,20.478333,22.525,25.880833,29.236667,32.5925,35.948333,39.304167,42.66,46.015833,49.371666,52.7275,56.083333
h2_production_electrolysis,Mt H2/yr,hydrogen,world,0.017,1.546273,3.075545,4.604818,6.134091,7.663364,9.192636,10.721909,12.251182,13.780455,15.309727,16.839,19.3368,21.8346,24.3324,26.8302,29.328,31.1993,33.0706,34.9419,36.8132,38.6845,40.5558,42.4271,44.2984,46.1697,48.041
h2_production_smr_ccs,Mt H2/yr,hydrogen,world,0.001,0.531545,1.062091,1.592636,2.123182,2.653727,3.184273,3.714818,4.245364,4.775909,5.306455,5.837,6.7622,7.6874,8.6126,9.5378,10.463,11.2361,12.0092,12.7823,13.5554,14.3285,15.1016,15.8747,16.6478,17.4209,18.194
h2_production_total,Mt H2/yr,hydrogen,world,0.011,1.066727,2.122455,3.178182,4.233909,5.289636,6.345364,7.401091,8.456818,9.512545,10.568273,11.624,13.4134,15.2028,16.9922,18.7816,20.571,22.0078,23.4446,24.8814,26.3182,27.755,29.1918,30.6286,32.0654,33.5022,34.939
population,million persons,macro,world,8091.13,8156.028182,8220.926364,8285.824545,8350.722727,8415.620909,8480.519091,8545.417273,8610.315455,8675.213636,8740.111818,8805.01,8862.57,8920.13,8977.69,9035.25,9092.81,9140.734,9188.658,9236.582,9284.506,9332.43,9380.354,9428.278,9476.202,9524.126,9572.05
renewable_share_generation,fraction (0-1),electricity,,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918,0.230918
