variable,unit,category,geography,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
emissions_co2_buildings,Mt CO2,emissions,world,2801.57,2773.443636,2745.317273,2717.190909,2689.064545,2660.938182,2632.811818,2604.685455,2576.559091,2548.432727,2520.306364,2492.18,2460.172,2428.164,2396.156,2364.148,2332.14,2315.672,2299.204,2282.736,2266.268,2249.8,2233.332,2216.864,2200.396,2183.928,2167.46
emissions_co2_industry,Mt CO2,emissions,world,9057.03,9074.610909,9092.191818,9109.772727,9127.353636,9144.934545,9162.515455,9180.096364,9197.677273,9215.258182,9232.839091,9250.42,9248.696,9246.972,9245.248,9243.524,9241.8,9206.098,9170.396,9134.694,9098.992,9063.29,9027.588,8991.886,8956.184,8920.482,8884.78
emissions_co2_per_capita,t CO2/person,emissions,,0.558782,0.548659,0.538696,0.528889,0.519235,0.509729,0.500369,0.491151,0.482072,0.473129,0.464319,0.455638,0.44453,0.433566,0.422742,0.412056,0.401506,0.3915,0.381599,0.3718,0.362103,0.352505,0.343005,0.333602,0.324294,0.31508,0.305957
emissions_co2_per_gdp,kg CO2/$ GDP,emissions,,0.023027,0.022034,0.021104,0.020233,0.019415,0.018644,0.017917,0.017231,0.016581,0.015966,0.015382,0.014827,0.014174,0.013554,0.012965,0.012405,0.011872,0.011353,0.010858,0.010386,0.009936,0.009506,0.009095,0.008701,0.008323,0.007961,0.007614
emissions_co2_power,Mt CO2,emissions,us,1490.0,1461.553636,1433.107273,1404.660909,1376.214545,1347.768182,1319.321818,1290.875455,1262.429091,1233.982727,1205.536364,1177.09,1132.561333,1088.032667,1043.504,998.975333,954.446667,909.918,865.389333,820.860667,776.332,731.803333,687.274667,642.746,598.217333,553.688667,509.16
emissions_co2_total,Mt CO2,emissions,us,4521.18,4474.881818,4428.583636,4382.285455,4335.987273,4289.689091,4243.390909,4197.092727,4150.794545,4104.496364,4058.198182,4011.9,3939.682667,3867.465333,3795.248,3723.030667,3650.813333,3578.596,3506.378667,3434.161333,3361.944,3289.726667,3217.509333,3145.292,3073.074667,3000.857333,2928.64
emissions_co2_transport,Mt CO2,emissions,world,8358.32,8366.731818,8375.143636,8383.555455,8391.967273,8400.379091,8408.790909,8417.202727,8425.614545,8434.026364,8442.438182,8450.85,8400.94,8351.03,8301.12,8251.21,8201.3,8180.022,8158.744,8137.466,8116.188,8094.91,8073.632,8052.354,8031.076,8009.798,7988.52
energy_intensity_gdp,MJ/$ GDP (real 2024 USD),macro,world,3.33,3.265455,3.200909,3.136364,3.071818,3.007273,2.942727,2.878182,2.813636,2.749091,2.684545,2.62,2.562,2.504,2.446,2.388,2.33,2.291,2.252,2.213,2.174,2.135,2.096,2.057,2.018,1.979,1.94
gdp_growth_rate,fraction (annual),macro,,,0.034367,0.033225,0.032157,0.031155,0.030214,0.029328,0.028492,0.027703,0.026956,0.026248,0.025577,0.027304,0.026578,0.02589,0.025236,0.024615,0.02508,0.024467,0.023883,0.023325,0.022794,0.022286,0.0218,0.021335,0.020889,0.020462
gdp_real,$ trillion (real 2024 USD),macro,world,196.3459,203.093745,209.841591,216.589436,223.337282,230.085127,236.832973,243.580818,250.328664,257.076509,263.824355,270.5722,277.9598,285.3474,292.735,300.1226,307.5102,315.2227,322.9352,330.6477,338.3602,346.0727,353.7852,361.4977,369.2102,376.9227,384.6352
generation_biomass,TWh,electricity,world,760.12,795.272727,830.425455,865.578182,900.730909,935.883636,971.036364,1006.189091,1041.341818,1076.494545,1111.647273,1146.8,1173.06,1199.32,1225.58,1251.84,1278.1,1307.76,1337.42,1367.08,1396.74,1426.4,1456.06,1485.72,1515.38,1545.04,1574.7
generation_coal,TWh,electricity,us,717.4,683.729091,650.058182,616.387273,582.716364,549.045455,515.374545,481.703636,448.032727,414.361818,380.690909,347.02,327.492,307.964,288.436,268.908,249.38,229.852,210.324,190.796,171.268,151.74,132.212,112.684,93.156,73.628,54.1
