Date,Cross-border transport costs from Belgium to Germany (EUR/MWH),Belgian ZTP hub price  (EUR/MWH),ZTP sourcing costs into Germany  (EUR/MWH),German THE hub price  (EUR/MWH),NWE LNG price  (EUR/MWH),LNG to THE transport costs  (EUR/MWH),LNG into Germany  (EUR/MWH)
0/25/22,11.22,19.00,30.22,29.90,96.46,2.30,98.76
0/8/23,1.13,54.75,55.88,55.67,48.43,2.30,50.73
0/26/22,7.92,35.20,43.12,43.00,95.57,2.30,97.87
0/9/23,1.13,54.38,55.50,55.30,48.23,2.30,50.53
0/10/23,1.13,54.20,55.33,55.15,48.53,2.30,50.83
0/27/22,4.01,23.00,27.01,36.00,94.66,2.30,96.96
0/11/23,1.13,54.33,55.46,54.90,48.53,2.30,50.83
0/28/22,3.37,24.75,28.12,30.57,97.90,2.30,100.20
0/12/23,1.13,54.33,55.45,54.90,48.53,2.30,50.83
0/29/22,8.74,29.05,37.79,36.00,97.90,2.30,100.20
0/13/23,1.13,54.67,55.80,55.30,47.17,2.30,49.47
0/30/22,3.52,29.05,32.57,36.00,97.90,2.30,100.20
0/14/23,1.13,52.85,53.98,53.40,48.31,2.30,50.61
0/31/22,1.26,34.00,35.26,37.45,84.30,2.30,86.60
0/15/23,1.13,53.15,54.28,53.85,49.53,2.30,51.83
0/1/22,1.57,27.00,28.57,30.07,79.18,2.30,81.48
0/16/23,1.13,54.20,55.33,55.00,46.14,2.30,48.44
0/2/22,1.26,21.00,22.26,24.20,94.34,2.30,96.64
0/17/23,1.13,50.10,51.23,51.80,42.99,2.30,45.29
0/3/22,9.80,62.08,71.87,59.80,84.41,2.30,86.71
0/18/23,1.13,47.90,49.03,49.27,42.99,2.30,45.29
0/4/22,12.61,48.10,60.71,66.80,70.03,2.30,72.33
0/19/23,1.13,47.90,49.03,49.27,42.99,2.30,45.29
0/5/22,10.26,46.80,57.06,58.00,70.03,2.30,72.33
0/20/23,1.13,47.67,48.81,49.00,41.46,2.30,43.76
0/6/22,10.26,46.80,57.06,58.00,70.03,2.30,72.33
0/21/23,1.13,48.90,50.03,49.70,42.46,2.30,44.76
0/7/22,12.72,43.00,55.72,60.00,75.56,2.30,77.86
0/22/23,1.13,48.77,49.90,49.40,42.63,2.30,44.93
0/8/22,43.71,41.80,85.51,62.02,79.25,2.30,81.55
0/23/23,1.13,49.67,50.80,50.27,45.34,2.30,47.64
0/9/22,43.41,56.83,100.24,89.67,76.79,2.30,79.09
0/24/23,1.13,49.65,50.78,50.50,44.82,2.30,47.12
0/10/22,27.42,55.67,83.10,90.88,72.64,2.30,74.94
0/25/23,1.13,51.17,52.30,52.02,44.82,2.30,47.12
0/11/22,10.22,51.73,61.95,86.00,64.40,2.30,66.70
0/26/23,1.13,51.17,52.30,52.02,44.82,2.30,47.12
0/12/22,1.71,38.90,40.61,63.67,64.40,2.30,66.70
0/27/23,1.13,51.77,52.90,52.62,41.42,2.30,43.72
0/13/22,10.72,38.90,49.62,63.67,64.40,2.30,66.70
0/28/23,1.13,47.75,48.88,48.67,40.72,2.30,43.02
0/14/22,0.71,44.08,44.79,71.50,74.41,2.30,76.71
0/1/23,1.13,47.10,48.23,48.00,42.10,2.30,44.40
0/15/22,0.72,111.00,111.72,112.17,87.34,2.30,89.64
0/2/23,1.13,48.67,49.81,49.25,41.23,2.30,43.53
0/16/22,0.71,116.00,116.71,116.72,84.07,2.30,86.37
0/3/23,1.13,47.55,48.68,48.12,40.00,2.30,42.30
0/17/22,0.71,97.70,98.41,99.00,86.65,2.30,88.95
0/4/23,1.13,45.80,46.93,46.50,40.00,2.30,42.30
0/18/22,0.71,106.95,107.66,107.50,83.40,2.30,85.70
0/5/23,1.13,45.80,46.93,46.50,40.00,2.30,42.30
0/19/22,0.71,106.90,107.61,107.85,83.40,2.30,85.70
0/6/23,1.13,46.10,47.23,46.77,38.20,2.30,40.50
0/20/22,0.71,106.90,107.61,107.85,83.40,2.30,85.70
0/7/23,1.13,43.88,45.00,44.15,38.75,2.30,41.05
0/21/22,0.45,106.10,106.55,108.30,88.22,2.30,90.52
0/8/23,1.13,45.25,46.38,45.52,38.57,2.30,40.87
0/22/22,0.71,110.25,110.96,112.30,94.90,2.30,97.20
0/9/23,1.13,42.90,44.03,43.30,41.26,2.30,43.56
0/23/22,0.71,116.25,116.96,117.00,100.17,2.30,102.47
0/10/23,1.13,45.60,46.73,46.12,47.84,2.30,50.15
0/11/23,1.13,54.20,55.33,54.83,47.84,2.30,50.15
0/12/23,1.13,54.20,55.33,54.83,47.84,2.30,50.15
0/13/23,1.13,53.65,54.78,54.35,44.84,2.30,47.14
0/14/23,1.13,48.52,49.65,49.40,41.45,2.30,43.75
0/15/23,1.13,45.67,46.80,46.10,38.90,2.30,41.20
0/16/23,1.13,43.05,44.18,44.15,41.09,2.30,43.39
0/24/22,0.72,128.32,129.04,129.55,95.20,2.30,97.50
0/17/23,1.13,44.30,45.43,45.70,39.56,2.30,41.86
0/25/22,0.72,119.20,119.92,120.38,97.35,2.30,99.65
0/18/23,1.13,40.70,41.83,41.77,39.56,2.30,41.86
0/26/22,0.71,124.70,125.41,125.55,97.35,2.30,99.65
0/19/23,1.13,40.70,41.83,41.77,39.56,2.30,41.86
0/27/22,0.71,124.70,125.41,125.55,97.35,2.30,99.65
0/20/23,1.13,40.45,41.58,41.90,35.71,2.30,38.01
0/28/22,0.71,125.80,126.51,126.50,94.56,2.30,96.86
0/21/23,1.13,38.05,39.18,40.00,38.06,2.30,40.37
0/29/22,2.80,125.20,128.00,125.65,99.12,2.30,101.42
0/22/23,0.96,41.00,41.96,41.73,36.30,2.30,38.60
0/30/22,0.72,129.00,129.72,132.75,104.58,2.30,106.88
0/23/23,1.13,39.45,40.58,40.27,38.64,2.30,40.94
0/1/22,0.71,137.00,137.71,140.40,102.83,2.30,105.13
0/24/23,1.13,42.02,43.16,43.05,36.57,2.30,38.87
0/2/22,0.81,134.30,135.11,135.60,105.27,2.30,107.57
0/25/23,1.13,41.45,42.58,41.83,36.57,2.30,38.87
0/3/22,2.41,129.12,131.54,132.70,105.27,2.30,107.57
0/26/23,1.13,41.45,42.58,41.83,36.57,2.30,38.87
0/4/22,2.41,129.12,131.54,132.70,105.27,2.30,107.57
0/27/23,1.13,41.70,42.83,42.27,37.12,2.30,39.42
0/28/23,1.13,42.67,43.80,43.40,38.07,2.30,40.37
0/5/22,0.71,130.90,131.61,134.00,104.58,2.30,106.88
0/29/23,1.13,41.92,43.05,43.10,38.19,2.30,40.49
0/6/22,0.87,134.82,135.69,136.10,107.69,2.30,109.99
0/30/23,1.13,41.42,42.55,42.90,38.78,2.30,41.08
0/7/22,0.71,138.80,139.51,140.25,120.68,2.30,122.98
0/31/23,0.96,41.90,42.86,43.20,40.94,2.30,43.24
0/8/22,0.71,148.70,149.41,149.50,108.58,2.30,110.88
0/1/23,0.96,46.23,47.19,47.45,40.94,2.30,43.24
0/9/22,0.71,136.90,137.61,137.35,115.29,2.30,117.59
0/2/23,0.77,46.23,47.00,47.45,40.94,2.30,43.24
0/10/22,0.71,142.65,143.36,143.15,115.29,2.30,117.59
0/3/23,0.77,46.62,47.40,48.42,43.99,2.30,46.29
0/11/22,0.71,142.65,143.36,143.15,115.29,2.30,117.59
0/4/23,0.77,51.02,51.80,53.20,38.72,2.30,41.02
0/12/22,0.71,144.60,145.31,145.32,116.23,2.30,118.53
0/5/23,0.77,45.75,46.52,47.30,38.63,2.30,40.94
0/13/22,0.71,137.40,138.11,138.03,116.94,2.30,119.24
0/6/23,0.77,45.25,46.02,46.85,37.82,2.30,40.12
0/14/22,0.71,138.65,139.36,139.25,115.11,2.30,117.41
0/7/23,0.96,42.52,43.49,43.90,37.82,2.30,40.12
0/15/22,0.71,133.28,133.99,133.40,120.73,2.30,123.03
0/8/23,0.96,42.52,43.49,43.90,37.82,2.30,40.12
0/16/22,0.80,135.57,136.37,135.90,108.50,2.30,110.80
0/9/23,0.96,42.52,43.49,43.90,37.82,2.30,40.12
0/17/22,0.72,116.58,117.29,117.90,108.50,2.30,110.80
0/10/23,0.96,42.52,43.49,43.90,37.82,2.30,40.12
0/18/22,1.78,116.58,118.35,117.90,108.50,2.30,110.80
0/11/23,0.96,42.48,43.44,43.80,37.88,2.30,40.18
0/19/22,5.61,117.08,122.69,118.40,106.96,2.30,109.26
0/12/23,0.96,43.25,44.21,44.73,35.59,2.30,37.88
0/20/22,12.61,99.80,112.41,107.00,104.88,2.30,107.17
0/13/23,0.96,44.12,45.09,44.92,34.52,2.30,36.82
0/21/22,7.39,91.45,98.84,104.83,93.23,2.30,95.53
0/14/23,0.96,42.83,43.79,43.65,33.60,2.30,35.90
0/22/22,11.21,87.80,99.01,94.42,87.11,2.30,89.41
0/15/23,0.96,40.08,41.04,41.60,33.60,2.30,35.90
0/16/23,0.96,40.08,41.04,41.60,33.60,2.30,35.90
0/23/22,4.93,76.05,80.98,88.90,78.83,2.30,81.14
0/17/23,0.96,40.48,41.44,42.02,35.16,2.30,37.46
0/24/22,0.93,66.47,67.41,82.15,78.83,2.30,81.14
0/18/23,0.96,40.88,41.84,42.62,36.06,2.30,38.36
0/25/22,0.93,66.47,67.41,82.15,78.83,2.30,81.14
0/19/23,1.21,41.52,42.74,43.73,33.88,2.30,36.18
0/26/22,1.13,66.47,67.61,82.15,78.83,2.30,81.14
0/20/23,1.71,38.73,40.44,42.10,34.55,2.30,36.85
0/27/22,3.87,66.47,70.35,82.15,78.83,2.30,81.14
0/21/23,1.75,38.92,40.68,42.05,34.35,2.30,36.65
0/28/22,9.50,67.40,76.90,82.65,78.84,2.30,81.14
0/22/23,0.96,38.83,39.79,41.12,34.35,2.30,36.65
0/29/22,11.76,65.00,76.76,76.00,78.92,2.30,81.22
0/23/23,0.96,38.83,39.79,41.12,34.35,2.30,36.65
0/30/22,7.74,65.85,73.59,79.55,71.22,2.30,73.52
0/24/23,1.18,39.12,40.30,41.27,33.42,2.30,35.72
0/31/22,3.36,67.40,70.76,73.53,71.22,2.30,73.52
0/25/23,1.17,38.45,39.62,39.98,33.78,2.30,36.08
0/1/23,1.13,67.40,68.53,73.53,71.22,2.30,73.52
0/26/23,1.97,38.58,40.55,41.48,32.67,2.30,34.98
0/2/23,1.28,67.40,68.68,73.53,71.22,2.30,73.52
0/27/23,2.28,36.40,38.68,39.80,32.33,2.30,34.63
0/3/23,3.24,67.28,70.51,72.75,67.48,2.30,69.78
0/28/23,1.98,36.00,37.98,38.60,32.92,2.30,35.22
0/4/23,6.43,56.25,62.68,66.45,61.05,2.30,63.34
0/29/23,0.96,36.00,36.96,38.27,32.92,2.30,35.22
0/5/23,4.09,56.40,60.49,62.95,66.61,2.30,68.91
0/30/23,1.12,36.00,37.12,38.27,32.92,2.30,35.22
0/6/23,1.25,60.50,61.75,66.30,65.63,2.30,67.93
0/1/23,1.01,36.00,37.01,38.27,32.92,2.30,35.22
0/7/23,1.13,60.95,62.08,63.58,65.63,2.30,67.93
0/2/23,2.49,36.02,38.51,38.60,32.12,2.30,34.42
0/8/23,1.13,60.95,62.08,63.58,65.63,2.30,67.93
0/3/23,0.96,35.08,36.04,37.62,31.59,2.30,33.88
0/9/23,1.33,62.90,64.23,65.70,68.76,2.30,71.06
0/4/23,1.17,34.48,35.65,37.23,30.21,2.30,32.51
0/5/23,0.96,34.00,34.96,35.45,30.67,2.30,32.97
0/10/23,1.21,68.47,69.69,74.00,63.36,2.30,65.66
0/6/23,0.96,34.73,35.69,35.83,30.67,2.30,32.97
0/11/23,2.01,64.00,66.01,67.88,60.16,2.30,62.46
0/7/23,0.96,34.73,35.69,35.83,30.67,2.30,32.97
0/12/23,2.13,60.80,62.93,65.30,60.66,2.30,62.96
0/8/23,0.96,34.73,35.69,35.83,30.67,2.30,32.97
0/13/23,1.13,63.73,64.85,65.50,57.17,2.30,59.47
0/9/23,0.96,34.88,35.84,36.27,30.59,2.30,32.88
0/14/23,1.13,61.75,62.88,63.27,57.17,2.30,59.47
0/10/23,0.96,35.10,36.06,36.25,29.63,2.30,31.93
0/15/23,1.13,61.75,62.88,63.27,57.17,2.30,59.47
0/11/23,0.96,33.70,34.66,35.30,30.42,2.30,32.72
0/16/23,1.13,62.60,63.73,63.42,47.64,2.30,49.94
0/12/23,0.96,33.83,34.79,34.73,27.45,2.30,29.75
0/17/23,1.13,54.77,55.90,55.50,51.88,2.30,54.18
0/13/23,0.96,29.65,30.61,31.50,27.45,2.30,29.75
0/18/23,1.13,59.50,60.63,60.98,54.36,2.30,56.66
0/14/23,0.96,29.65,30.61,31.50,27.45,2.30,29.75
0/19/23,1.13,62.70,63.83,63.70,53.42,2.30,55.72
0/15/23,0.98,29.32,30.30,31.80,27.38,2.30,29.68
0/16/23,1.38,30.62,32.00,32.10,27.57,2.30,29.87
0/20/23,1.13,61.42,62.55,62.20,59.55,2.30,61.85
0/17/23,1.16,30.40,31.56,32.88,27.79,2.30,30.09
0/21/23,1.13,69.10,70.23,69.83,59.55,2.30,61.85
0/18/23,0.96,30.20,31.16,31.75,26.67,2.30,28.97
0/22/23,1.13,69.10,70.23,69.83,59.55,2.30,61.85
0/19/23,0.97,26.90,27.87,30.00,26.37,2.30,28.67
0/23/23,1.13,68.90,70.03,69.75,56.34,2.30,58.64
0/20/23,0.97,27.25,28.22,29.40,26.37,2.30,28.67
0/24/23,1.13,66.80,67.93,67.28,52.91,2.30,55.21
0/21/23,0.96,27.25,28.21,29.40,26.37,2.30,28.67
0/25/23,1.13,58.83,59.95,59.45,49.78,2.30,52.08
0/22/23,0.96,28.48,29.44,30.10,26.33,2.30,28.63
0/26/23,1.13,58.00,59.13,58.88,48.25,2.30,50.55
0/23/23,0.96,29.73,30.69,31.02,26.22,2.30,28.52
0/27/23,1.13,55.90,57.03,56.67,50.16,2.30,52.45
0/24/23,0.96,29.05,30.01,29.88,25.31,2.30,27.61
0/28/23,1.13,57.15,58.28,58.00,50.16,2.30,52.45
0/25/23,0.96,28.02,28.99,28.77,23.38,2.30,25.68
0/29/23,1.13,57.15,58.28,58.00,50.16,2.30,52.45
0/26/23,0.96,25.40,26.36,25.98,22.30,2.30,24.61
0/30/23,1.13,57.35,58.48,58.50,51.36,2.30,53.66
0/27/23,0.96,23.07,24.04,24.57,22.30,2.30,24.61
0/31/23,1.13,56.35,57.48,57.23,53.00,2.30,55.30
0/28/23,0.77,23.07,23.85,24.57,22.30,2.30,24.61
0/1/23,1.13,57.27,58.40,58.67,54.58,2.30,56.88
0/29/23,0.77,23.07,23.85,24.57,22.30,2.30,24.61
0/2/23,1.13,59.25,60.38,60.20,52.29,2.30,54.59
0/30/23,0.77,23.57,24.35,24.68,23.36,2.30,25.66
0/31/23,0.96,25.23,26.19,26.12,24.13,2.30,26.43
0/1/23,0.96,25.70,26.66,26.10,21.96,2.30,24.26
0/2/23,0.96,23.00,23.96,23.68,22.78,2.30,25.08
0/3/23,0.96,23.35,24.31,23.88,22.78,2.30,25.08
0/4/23,0.96,23.35,24.31,23.88,22.78,2.30,25.08
0/5/23,0.96,23.20,24.16,23.82,27.16,2.30,29.46
0/6/23,0.96,28.80,29.76,29.30,23.59,2.30,25.89
0/7/23,0.96,25.35,26.31,25.88,25.08,2.30,27.38
0/8/23,0.96,26.38,27.34,26.88,25.59,2.30,27.89
0/9/23,0.96,26.45,27.41,27.00,30.06,2.30,32.36
0/10/23,0.96,31.80,32.76,32.50,30.06,2.30,32.36
0/11/23,0.96,31.80,32.76,32.50,30.06,2.30,32.36
0/12/23,0.96,31.50,32.46,32.30,28.50,2.30,30.80
0/13/23,0.96,29.65,30.61,30.35,34.40,2.30,36.70
0/14/23,0.96,35.42,36.39,35.98,36.06,2.30,38.36
0/15/23,0.96,37.90,38.86,38.40,39.80,2.30,42.09
0/16/23,0.96,40.35,41.31,40.77,32.37,2.30,34.67
0/17/23,0.96,32.70,33.66,33.25,32.37,2.30,34.67
0/18/23,0.96,33.08,34.04,33.52,40.38,2.30,42.67
0/18/23,0.96,32.70,33.66,33.25,32.37,2.30,34.67
0/19/23,0.96,33.95,34.91,34.42,40.38,2.30,42.67
0/19/23,0.96,32.52,33.49,33.15,33.45,2.30,35.76
0/20/23,0.96,33.95,34.91,34.42,40.38,2.30,42.67
0/20/23,0.96,34.25,35.21,35.17,35.27,2.30,37.57
0/21/23,0.96,34.10,35.06,34.58,42.33,2.30,44.63
0/21/23,0.96,37.33,38.29,37.85,35.43,2.30,37.73
0/22/23,0.96,39.27,40.24,39.88,44.39,2.30,46.69
0/23/23,0.96,43.10,44.06,43.42,39.58,2.30,41.88
0/22/23,0.96,37.75,38.71,38.12,32.44,2.30,34.74
0/24/23,0.96,36.48,37.44,36.77,33.87,2.30,36.17
0/23/23,0.96,33.98,34.94,34.50,32.09,2.30,34.39
0/25/23,0.96,32.08,33.04,32.45,36.35,2.30,38.66
0/24/23,0.96,31.93,32.89,32.58,32.09,2.30,34.39
0/26/23,0.96,35.55,36.51,35.92,36.35,2.30,38.66
0/25/23,0.96,31.93,32.89,32.58,32.09,2.30,34.39
0/27/23,0.96,35.55,36.51,35.92,36.35,2.30,38.66
0/26/23,0.96,32.15,33.11,32.80,30.60,2.30,32.90
0/28/23,0.96,35.55,36.51,35.92,36.35,2.30,38.66
0/27/23,0.96,32.15,33.11,31.55,34.01,2.30,36.30
0/29/23,0.96,36.23,37.19,36.70,36.68,2.30,38.98
0/28/23,0.96,34.70,35.66,35.20,32.54,2.30,34.84
0/30/23,0.96,35.25,36.21,35.62,37.68,2.30,39.98
0/29/23,0.96,34.10,35.06,34.70,33.23,2.30,35.53
0/1/23,0.96,31.93,32.89,32.30,33.98,2.30,36.28
0/30/23,0.96,33.95,34.91,34.75,35.78,2.30,38.08
0/4/23,0.96,33.02,33.99,33.42,32.01,2.30,34.31
0/1/23,0.96,36.73,37.69,37.25,35.78,2.30,38.08
0/5/23,0.96,31.62,32.59,32.25,32.95,2.30,35.25
0/2/23,0.96,36.73,37.69,37.25,35.78,2.30,38.08
0/6/23,0.96,33.12,34.09,33.52,29.60,2.30,31.90
0/3/23,0.96,36.45,37.41,36.90,33.20,2.30,35.49
0/7/23,0.96,31.23,32.19,31.75,31.31,2.30,33.61
0/4/23,0.96,33.90,34.86,34.30,33.72,2.30,36.02
0/8/23,0.96,32.95,33.91,33.30,31.93,2.30,34.23
0/5/23,0.96,34.70,35.66,35.15,32.66,2.30,34.96
0/11/23,0.96,34.55,35.51,34.95,33.34,2.30,35.64
0/12/23,0.96,37.60,38.56,37.95,33.41,2.30,35.71
0/6/23,0.96,33.98,34.94,34.38,31.05,2.30,33.35
0/13/23,0.96,35.83,36.79,36.33,35.20,2.30,37.50
0/7/23,0.96,31.85,32.81,32.27,31.52,2.30,33.82
0/14/23,0.96,37.45,38.41,37.80,33.93,2.30,36.23
0/8/23,0.96,32.08,33.04,32.60,31.52,2.30,33.82
0/15/23,0.96,35.60,36.56,36.50,35.31,2.30,37.62
0/9/23,0.96,32.08,33.04,32.60,31.52,2.30,33.82
0/18/23,0.96,36.60,37.56,37.02,38.94,2.30,41.24
0/10/23,0.96,32.40,33.36,32.75,28.14,2.30,30.44
0/19/23,0.96,34.35,35.31,34.67,40.49,2.30,42.79
0/11/23,0.96,29.00,29.96,29.62,27.48,2.30,29.78
0/20/23,0.96,38.00,38.96,38.50,39.59,2.30,41.89
0/12/23,0.13,28.25,28.38,29.02,25.64,2.30,27.94
0/21/23,0.96,37.63,38.59,37.95,41.14,2.30,43.44
0/13/23,0.96,26.57,27.54,27.30,26.20,2.30,28.50
0/22/23,0.96,39.05,40.01,39.40,41.16,2.30,43.46
0/14/23,0.96,26.32,27.29,27.00,24.16,2.30,26.46
0/25/23,0.96,40.48,41.44,40.83,43.58,2.30,45.88
0/15/23,0.96,23.98,24.94,24.62,24.16,2.30,26.46
0/26/23,0.96,44.55,45.51,45.05,41.11,2.30,43.41
0/16/23,0.96,23.98,24.94,24.62,24.16,2.30,26.46
0/27/23,0.96,39.80,40.76,40.41,40.61,2.30,42.91
0/28/23,0.96,40.02,40.98,40.49,40.29,2.30,42.59
0/29/23,0.96,39.35,40.31,39.80,40.00,2.30,42.30
0/2/23,0.96,36.95,37.91,37.26,36.10,2.30,38.40
0/3/23,0.96,32.10,33.06,32.08,36.47,2.30,38.77
0/4/23,0.96,30.60,31.56,30.95,36.09,2.30,38.39
0/5/23,0.96,32.95,33.92,33.01,34.02,2.30,36.32
0/6/23,0.96,28.12,29.09,28.23,35.62,2.30,37.91
0/17/23,0.96,24.27,25.24,24.95,26.37,2.30,28.67
0/9/23,0.96,32.40,33.36,32.20,40.30,2.30,42.60
0/18/23,0.96,24.98,25.94,25.43,27.82,2.30,30.12
0/10/23,0.96,40.30,41.26,40.51,46.16,2.30,48.46
0/19/23,0.96,26.98,27.94,27.52,27.87,2.30,30.17
0/11/23,0.96,45.23,46.19,45.33,44.73,2.30,47.03
0/20/23,0.96,26.15,27.11,26.50,29.66,2.30,31.95
0/12/23,0.96,44.76,45.72,44.85,50.81,2.30,53.11
0/21/23,0.96,28.00,28.96,28.50,28.78,2.30,31.08
0/13/23,0.96,48.58,49.54,48.63,52.76,2.30,55.05
0/22/23,0.96,26.98,27.94,27.38,28.78,2.30,31.08
0/16/23,0.96,55.01,55.97,55.45,49.78,2.30,52.08
0/23/23,0.96,26.98,27.94,27.38,28.78,2.30,31.08
0/17/23,0.96,44.12,45.09,47.30,50.89,2.30,53.19
0/24/23,0.96,27.10,28.06,27.50,30.84,2.30,33.14
0/18/23,0.96,42.24,43.21,46.52,52.71,2.30,55.01
0/25/23,0.96,29.82,30.79,30.18,33.34,2.30,35.64
0/19/23,0.96,44.52,45.49,48.45,52.08,2.30,54.38
0/26/23,0.96,32.25,33.21,32.40,30.03,2.30,32.33
0/20/23,0.96,41.22,42.18,44.70,52.38,2.30,54.68
0/27/23,0.96,28.55,29.51,28.98,29.42,2.30,31.72
0/23/23,0.96,44.41,45.37,45.77,54.09,2.30,56.39
0/28/23,0.96,28.02,28.99,28.43,26.83,2.30,29.13
0/24/23,0.96,48.25,49.21,48.97,50.59,2.30,52.89
0/29/23,0.96,25.02,25.99,25.70,26.83,2.30,29.13
0/25/23,0.96,48.12,49.08,48.72,50.98,2.30,53.27
0/30/23,0.96,25.02,25.99,25.70,26.83,2.30,29.13
0/26/23,0.96,48.10,49.06,48.95,51.05,2.30,53.35
0/31/23,0.96,25.02,25.99,25.65,28.48,2.30,30.78
0/27/23,0.96,47.60,48.56,48.55,51.37,2.30,53.67
0/1/23,0.96,26.85,27.81,27.25,27.21,2.30,29.51
0/30/23,0.96,46.80,47.76,47.24,49.55,2.30,51.85
0/2/23,0.96,26.05,27.01,26.52,28.97,2.30,31.27
0/31/23,0.96,47.48,48.44,47.89,46.06,2.30,48.36
0/3/23,0.96,27.73,28.69,28.18,30.57,2.30,32.87
0/1/23,0.96,40.43,41.39,40.83,46.72,2.30,49.02
0/2/23,0.96,36.55,37.51,36.97,47.14,2.30,49.44
0/4/23,0.96,30.07,31.04,30.40,29.45,2.30,31.75
0/3/23,0.96,40.20,41.16,40.62,45.22,2.30,47.52
0/5/23,0.96,28.35,29.31,28.73,29.45,2.30,31.75
0/6/23,0.96,39.27,40.24,39.90,42.86,2.30,45.16
0/6/23,0.96,28.35,29.31,28.73,29.45,2.30,31.75
0/7/23,0.96,40.20,41.16,40.70,44.22,2.30,46.52
0/7/23,0.96,28.35,29.31,28.80,30.46,2.30,32.76
0/8/23,0.96,43.15,44.11,43.90,43.37,2.30,45.67
0/8/23,0.96,29.82,30.79,30.25,30.75,2.30,33.05
0/9/23,0.96,43.50,44.46,44.10,46.36,2.30,48.66
0/9/23,0.96,29.40,30.36,29.75,37.53,2.30,39.83
0/10/23,0.96,41.90,42.86,42.67,43.89,2.30,46.19
0/10/23,0.96,36.95,37.91,37.35,35.26,2.30,37.56
0/13/23,0.96,43.05,44.01,44.23,44.53,2.30,46.83
0/11/23,0.96,34.52,35.49,34.77,34.59,2.30,36.89
0/14/23,0.96,39.95,40.91,41.70,44.22,2.30,46.52
0/12/23,0.96,30.75,31.71,30.88,34.59,2.30,36.89
0/15/23,0.96,43.05,44.01,44.75,43.63,2.30,45.93
0/13/23,0.96,30.75,31.71,30.88,34.59,2.30,36.89
0/16/23,0.96,45.27,46.24,46.30,44.12,2.30,46.42
0/14/23,0.96,31.30,32.26,31.65,34.73,2.30,37.03
0/17/23,0.96,45.48,46.44,46.40,43.29,2.30,45.59
0/15/23,0.96,31.70,32.66,32.05,37.96,2.30,40.26
0/20/23,0.96,44.23,45.19,45.03,44.45,2.30,46.75
0/16/23,0.96,35.83,36.79,36.38,41.29,2.30,43.59
0/21/23,0.96,45.67,46.64,46.70,42.20,2.30,44.50
0/17/23,0.96,34.95,35.91,35.35,40.13,2.30,42.43
0/22/23,0.96,43.70,44.66,44.00,42.63,2.30,44.93
0/23/23,0.96,44.17,45.13,44.84,44.67,2.30,46.97
0/24/23,0.96,46.37,47.33,47.12,44.97,2.30,47.27
0/27/23,0.96,46.93,47.89,47.70,42.61,2.30,44.91
0/28/23,0.96,44.35,45.32,44.73,42.12,2.30,44.42
0/29/23,0.96,44.62,45.59,45.08,38.52,2.30,40.82
0/30/23,0.96,41.63,42.59,41.76,38.94,2.30,41.23
0/1/23,0.96,40.88,41.84,41.30,40.72,2.30,43.02
0/4/23,0.96,43.52,44.48,44.49,37.21,2.30,39.51
0/5/23,0.96,39.50,40.46,40.55,35.61,2.30,37.91
0/6/23,0.96,37.72,38.68,38.35,36.87,2.30,39.17
0/7/23,0.96,39.05,40.01,39.65,37.36,2.30,39.66
0/8/23,0.96,39.65,40.61,40.35,36.48,2.30,38.78
0/11/23,0.96,38.20,39.16,38.55,34.00,2.30,36.30
0/12/23,0.96,35.80,36.76,36.12,32.92,2.30,35.22
0/13/23,0.96,34.62,35.58,34.90,33.05,2.30,35.35
0/14/23,0.96,34.98,35.94,35.98,32.14,2.30,34.44
0/15/23,0.96,34.10,35.06,34.63,30.50,2.30,32.80
0/18/23,0.96,31.11,32.07,32.33,33.00,2.30,35.30
0/19/23,0.96,34.62,35.59,34.98,30.81,2.30,33.11
0/20/23,0.96,32.62,33.59,32.70,31.70,2.30,34.00
0/21/23,0.96,32.74,33.71,33.12,32.27,2.30,34.56
0/22/23,0.96,33.10,34.07,33.57,32.06,2.30,34.36
0/27/23,0.96,33.11,34.07,33.52,32.99,2.30,35.29
0/28/23,0.96,33.73,34.69,34.05,31.14,2.30,33.44
0/29/23,0.96,31.28,32.24,31.80,29.81,2.30,32.11
0/2/24,0.96,30.61,31.57,31.32,27.96,2.30,30.27
0/3/24,0.96,28.39,29.36,29.00,30.45,2.30,32.75
0/4/24,0.96,31.57,32.54,32.27,30.71,2.30,33.01
0/5/24,0.96,32.17,33.14,32.12,32.00,2.30,34.30
0/8/24,0.96,34.40,35.36,35.10,28.74,2.30,31.04
0/9/24,0.96,31.39,32.36,31.95,28.41,2.30,30.71
0/10/24,0.96,31.20,32.16,31.90,28.36,2.30,30.66
0/11/24,0.96,31.03,31.99,31.75,28.25,2.30,30.55
0/12/24,0.96,31.20,32.17,31.47,29.27,2.30,31.57
0/15/24,0.96,31.98,32.94,32.09,27.63,2.30,29.93
