Date,Aggregation method,Day-ahead price [EUR/MWh]
01/12/2023,Minimum,−6.50
01/12/2023,Maximum,251.40
01/01/2024,Average,87.80
01/01/2024,Minimum,0.50
01/01/2024,Maximum,453.50
01/02/2024,Average,64.80
01/02/2024,Minimum,3.20
01/02/2024,Maximum,163.10
01/03/2024,Average,61.80
01/03/2024,Minimum,−4.10
01/03/2024,Maximum,205.80
01/04/2024,Average,56.40
01/04/2024,Minimum,−44.50
01/04/2024,Maximum,189.20
01/05/2024,Average,64.30
01/05/2024,Minimum,−61.20
01/05/2024,Maximum,231.70
01/06/2024,Average,76.60
01/06/2024,Minimum,−38.90
01/06/2024,Maximum,293.80
01/07/2024,Average,84.60
01/07/2024,Minimum,−45.20
01/07/2024,Maximum,381.50
01/08/2024,Average,89.70
01/08/2024,Minimum,−34.90
01/08/2024,Maximum,410.70
01/09/2024,Average,81.60
01/09/2024,Minimum,−10.00
01/09/2024,Maximum,532.30
01/10/2024,Average,82.40
01/10/2024,Minimum,−6.90
01/10/2024,Maximum,301.20
01/11/2024,Average,113.90
01/11/2024,Minimum,16.00
01/11/2024,Maximum,519.00
01/12/2024,Average,108.90
01/12/2024,Minimum,2.80
01/12/2024,Maximum,642.30
