year_month,avg_price_mwh,min_price_mwh,max_price_mwh,std_price_mwh,hourly_obs,date
2010-12,30.66141129032258,13.51,57.0,7.256434933097946,744,2010-12-01
2011-01,33.06477150537634,13.28,72.57,9.034530420603062,744,2011-01-01
2011-02,49.93278273809524,7.78,893.45,97.8174246871367,672,2011-02-01
2011-03,27.28078061911171,7.91,64.47,9.468403388752018,743,2011-03-01
2011-04,32.25418055555555,5.97,96.02,12.483437144621288,720,2011-04-01
2011-05,32.57568548387097,11.42,89.4,11.552816676029137,744,2011-05-01
2011-06,39.238416666666666,12.5,173.38,20.832312529668837,720,2011-06-01
2011-07,51.70836021505376,19.21,363.91,43.89507211355188,744,2011-07-01
2011-08,153.110376344086,15.41,2634.83,398.6118318041152,744,2011-08-01
2011-09,34.775388888888884,9.05,378.81,23.919456971752517,720,2011-09-01
2011-10,28.417715053763438,11.69,81.24,9.74261591632988,744,2011-10-01
2011-11,24.413342579750346,6.57,54.51,7.388910482418794,721,2011-11-01
2011-12,25.574543010752688,10.58,74.97,6.96266888973863,744,2011-12-01
2012-01,22.051975806451612,10.23,58.3,6.275261089683344,744,2012-01-01
2012-02,20.665402298850577,9.88,43.29,4.988100904080596,696,2012-02-01
2012-03,22.322866756393,8.86,70.73,8.581361909909925,743,2012-03-01
2012-04,27.201152777777775,6.71,554.39,37.471867992944524,720,2012-04-01
2012-05,23.16567204301075,6.14,185.4,14.722528258065154,744,2012-05-01
2012-06,32.076347222222225,7.23,1353.67,79.53512023387152,720,2012-06-01
2012-07,29.64532258064516,13.46,258.6,23.418771034649218,744,2012-07-01
2012-08,38.74466397849462,11.73,1513.97,94.78304433011483,744,2012-08-01
2012-09,27.593611111111112,12.99,265.22,21.76025884740016,720,2012-09-01
2012-10,27.73720430107527,11.28,83.18,8.520954251288533,744,2012-10-01
2012-11,28.86140083217753,8.99,69.34,8.759460004059694,721,2012-11-01
2012-12,25.63569892473118,9.66,56.22,6.7154161484239365,744,2012-12-01
2013-01,25.76279569892473,11.06,61.35,5.6243807118280245,744,2013-01-01
2013-02,24.647886904761908,10.7,64.8,6.0669939179386985,672,2013-02-01
2013-03,29.987819650067294,9.92,84.47,9.278207872822831,743,2013-03-01
2013-04,32.992305555555554,15.03,75.78,9.130377682449367,720,2013-04-01
2013-05,33.18397849462366,16.04,81.95,9.850905760983837,744,2013-05-01
2013-06,35.74772222222222,16.03,524.14,31.87160246180341,720,2013-06-01
2013-07,33.53077956989247,18.8,150.39,12.517799824515267,744,2013-07-01
2013-08,36.27887096774194,19.0,425.18,27.56286446004997,744,2013-08-01
2013-09,34.40211111111111,16.12,106.1,11.911020188665027,720,2013-09-01
2013-10,31.57662634408602,13.43,168.11,12.010241033378277,744,2013-10-01
2013-11,30.610360610263523,13.59,68.29,8.862760520088885,721,2013-11-01
2013-12,35.37170698924731,17.97,100.25,10.711096580136989,744,2013-12-01
2014-01,36.50834677419355,17.88,217.19,18.517117644222502,744,2014-01-01
2014-02,50.91116071428572,15.95,480.85,42.89345149743844,672,2014-02-01
2014-03,49.95308209959623,7.21,1329.81,90.17237190389068,743,2014-03-01
2014-04,40.456722222222226,19.29,129.5,13.730733801057388,720,2014-04-01
2014-05,36.63524193548387,16.37,106.34,11.683540466904388,744,2014-05-01
2014-06,40.07476388888889,23.32,82.56,11.982343289570913,720,2014-06-01
