date,Indiana,MID_C,Mass_Hub,NP_15,PJM_West,Palo_Verde,SP_15_1,SP_15_2
2001-01-01,,150.0,68.929,,45.09433070866142,186.64285714285714,254.94295454545454,
2001-02-01,,,50.65361111111111,,38.920818505338076,231.0,223.83729729729728,
2001-03-01,,180.0,52.437,,43.7042209631728,198.25,218.47058823529412,
2001-04-01,,330.0,49.860975609756096,,50.638996763754044,226.25,247.64285714285714,
2001-05-01,,188.9090909090909,51.043504273504276,,37.99917700112739,276.675811965812,249.00742424242424,
2001-06-01,,66.29975,45.81448648648649,,43.91749206349206,72.09971428571428,66.26119266055046,
2001-07-01,,57.226451612903226,46.35949044585987,,44.34928443649374,57.718333333333334,51.90546125461255,
2001-08-01,,45.546147540983604,53.18270833333333,,59.47630434782609,50.77699468085106,46.08131652661064,
2001-09-01,,23.718196721311475,39.70590163934426,,28.5648625,29.734685314685315,26.270582959641256,
2001-10-01,,26.83904761904762,36.02454545454545,,26.52907600596125,28.684896373056993,29.027899686520374,
2001-11-01,,24.35268,33.974734042553195,,24.17753018108652,25.048484848484847,27.946796536796537,
2001-12-01,,26.065330882352942,29.314409448818896,,24.34766109785203,29.19756329113924,30.480922619047618,
2002-01-01,,19.645201863354036,29.700625,,23.86542857142857,23.634819277108434,24.0130859375,
2002-02-01,,21.43167820069204,29.021396103896105,,24.168232286340395,23.719889135254988,25.636005025125627,
2002-03-01,,36.088730048577375,33.186356275303645,,28.244610673665793,34.70804526748971,36.014645476772614,
2002-04-01,,21.63630844954881,36.91739583333333,,36.10538098693759,31.08949152542373,31.919725651577505,
2002-05-01,,20.992060232717318,42.4859296482412,,28.277840106007066,28.892098214285713,29.646479820627803,
2002-06-01,,10.162722273143904,39.66023668639053,,42.39537788881949,35.53256,33.38564561734213,
2002-07-01,,12.387651044607566,52.45072386058981,,53.48596385542169,41.03255601659751,38.239704480457576,
2002-08-01,,18.48089584850692,53.495923344947734,,48.20159010600707,32.15203074433657,31.329073756432248,
2002-09-01,,25.033001293661062,50.54149700598802,,36.64935064935065,32.78094017094017,35.14639097744361,
2002-10-01,,32.447569331158235,48.12976190476191,,36.897837582625115,34.52030818278427,37.41764953664701,
2002-11-01,,31.34356204379562,46.70666666666666,,33.58886426592798,33.57798955613577,40.45246963562753,
2002-12-01,,40.28922503725782,52.18063291139241,,40.22980056980057,41.167096774193546,46.23702985074627,
2003-01-01,,38.90851640513552,73.19287449392712,,54.327579617834395,41.17114942528735,44.841397435897434,
2003-02-01,,54.74064085447263,77.76412790697674,,67.96813852813852,56.08581947743468,64.11372460496614,
2003-03-01,,44.16170316301703,70.88505747126437,,64.89013605442177,54.619890510948906,58.04465976331361,
2003-04-01,,33.09944713870029,53.555151515151515,,47.974249233912154,43.422372013651874,46.72017793594306,
2003-05-01,,33.071337868480725,53.364754098360656,,44.2317107093185,51.95103896103896,53.22185248713551,
2003-06-01,,36.076424384525204,63.0851724137931,,47.45925149700599,52.0912417218543,50.598962605548856,
2003-07-01,,47.63250278086763,57.276170212765955,,49.48961373390558,62.63125528913963,59.40361144219309,
2003-08-01,,42.36178207739307,50.6515625,,53.51368082368082,53.03075286415712,52.669107883817425,
2003-09-01,,41.93563976377953,46.744202898550725,,37.57991638795987,45.0991416893733,48.62776876267748,
2003-10-01,,37.530501105379514,50.58953125,,35.7914194722475,46.57551456310679,47.97540657439446,
2003-11-01,,36.862206896551726,47.913472222222225,,37.256661991584856,38.31791428571429,42.650531531531534,
2003-12-01,,41.77207676490747,58.81322580645161,,41.43397637795275,44.43048689138577,48.77060204081633,
2004-01-01,,46.58939967105263,103.46221476510067,,64.07073008849558,46.88878666666667,50.782791443850265,
2004-02-01,,41.62364845938375,57.13924731182796,,51.12299896587383,43.27014333895447,47.688993595608416,
2004-03-01,,38.56721296296296,53.54251787709497,,47.096855829383884,42.165465013286095,46.83929929006085,
2004-04-01,,42.83998262380538,56.64339056603773,,48.596670613107825,47.41167385677308,51.34908713932399,
2004-05-01,,46.937601918465226,64.4407894736842,,59.10471064718163,53.62371909000989,58.79496782690499,
2004-06-01,,33.430399522957664,62.14809619047619,,54.95815113835376,52.47922764227642,54.27547488335926,
2004-07-01,,52.15208133971292,58.049346052631584,,54.1656422907489,63.58852544132918,65.3980702098849,
2004-08-01,,47.976430338004945,53.624460106382976,,48.655439925834365,52.775503875968994,57.63987317236754,
2004-09-01,,39.57556581986143,50.167264974619286,,46.76013109756098,42.112857142857145,49.23250844553243,
2004-10-01,,46.50260056127222,57.89592119565217,,47.11627559322034,49.491781219748304,58.211496341463416,
2004-11-01,,48.43128555176337,58.586656390977446,,48.83926033057851,53.8030976744186,61.52369940262843,
2004-12-01,,50.03726926010679,66.3575221238938,,47.35866020671834,55.49366779089376,63.754380548128346,
2005-01-01,,50.34707298720843,89.7276070754717,,57.4623556231003,49.57826800364631,57.00759086783891,
2005-02-01,,47.18455089820359,63.84768062015504,,48.74844277673546,48.85024111675127,53.47452442396313,
2005-03-01,,51.3909896373057,67.35430331125828,,56.955625,52.802489959839356,57.10899088130413,
2005-04-01,,53.85285089849442,71.29187398373985,,57.081167630057806,55.059380053908356,59.27832520205731,
2005-05-01,,35.23706175298805,64.02604444444445,,54.26388480392157,51.608964667214465,51.73076666666666,
