year_month,avg_price_mwh,min_price_mwh,max_price_mwh,std_price_mwh,hourly_obs,date
2010-12,30.66141129032258,13.51,57.0,7.256434933097946,744,2010-12-01
2011-01,33.06477150537634,13.28,72.57,9.034530420603062,744,2011-01-01
2012-01,22.051975806451612,10.23,58.3,6.275261089683344,744,2012-01-01
2013-01,25.76279569892473,11.06,61.35,5.6243807118280245,744,2013-01-01
2014-01,36.50834677419355,17.88,217.19,18.517117644222502,744,2014-01-01
2015-01,25.082137096774193,5.3,128.53,8.493668776764798,744,2015-01-01
2016-01,19.25869623655914,5.13,54.53,5.5123168382360115,744,2016-01-01
2017-01,23.325551075268816,1.84,96.27,7.577709890137224,744,2017-01-01
2018-01,37.7730376344086,5.24,1658.38,87.50519670270873,744,2018-01-01
2019-01,24.68340053763441,5.59,75.44,8.207597813307887,1488,2019-01-01
